2026/08/28 14:49更新,#genre#

央视频道,#genre#
CCTV-1 综合,http://221.7.175.154:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1 综合,http://221.7.49.226:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://221.7.49.226:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://221.7.175.154:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2 财经,http://116.128.243.121:85/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://221.7.175.154:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://221.7.49.226:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3 综艺,http://103.72.172.253:8041/hls/236821488/index.m3u8
CCTV-4 中文国际,http://221.7.175.154:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://221.7.175.154:85/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5 体育,http://221.7.49.226:50085/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5+ 体育赛事,http://221.7.175.154:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6 电影,http://221.7.175.154:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-6 电影,http://221.7.49.226:50085/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 国防军事,http://221.7.175.154:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7 国防军事,http://221.7.49.226:50085/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,http://221.7.175.154:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8 电视剧,http://221.7.49.226:50085/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 纪录,http://221.7.175.154:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 纪录,http://221.7.49.226:50085/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-9 纪录,http://103.72.172.253:8041/hls/281284444/index.m3u8
CCTV-10 科教,http://221.7.49.226:50085/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10 科教,http://221.7.175.154:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10 科教,http://103.72.172.253:8041/hls/294729569/index.m3u8
CCTV-11 戏曲,http://103.72.172.253:8041/hls/311257824/index.m3u8
CCTV-12 社会与法,http://221.7.175.154:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 社会与法,http://221.7.49.226:50085/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12 社会与法,http://116.128.243.121:85/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://116.128.243.121:85/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://221.7.49.226:50085/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13 新闻,http://221.7.175.154:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://221.7.49.226:50085/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14 少儿,http://221.7.175.154:85/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15 音乐,http://116.128.243.121:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16 奥林匹克,http://221.7.49.226:50085/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17 农业农村,http://221.7.49.226:50085/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-17 农业农村,http://221.7.175.154:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-风云音乐,http://221.7.49.226:50085/tsfile/live/0017_8.m3u8?key=txiptv&playlive=1&authid=0
CCTV-风云剧场,http://221.7.49.226:50085/tsfile/live/0017_7.m3u8?key=txiptv&playlive=1&authid=0
CCTV-怀旧剧场,http://221.7.49.226:50085/tsfile/live/0017_6.m3u8?key=txiptv&playlive=1&authid=0
CCTV-第一剧场,http://221.7.49.226:50085/tsfile/live/0018_4.m3u8?key=txiptv&playlive=1&authid=0
中国天气,http://221.7.49.226:50085/tsfile/live/0018_8.m3u8?key=txiptv&playlive=1&authid=0
卫视频道,#genre#
北京卫视,http://103.72.172.253:8041/hls/345649569/index.m3u8
北京卫视,http://111.4.82.49:8008/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://221.7.175.154:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://103.72.172.253:8041/hls/488772575/index.m3u8
广东卫视,http://221.7.175.154:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://221.7.49.226:50085/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://116.128.243.121:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://221.7.175.154:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.7.175.154:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://221.7.49.226:50085/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://116.128.243.121:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://103.72.172.253:8041/hls/436397645/index.m3u8
江苏卫视,http://221.7.175.154:85/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://103.72.172.253:8041/hls/492987178/index.m3u8
江苏卫视,http://221.7.49.226:50085/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://221.7.49.226:50085/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://221.7.175.154:85/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://221.7.49.226:50085/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.7.49.226:50085/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://221.7.175.154:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
