2026/08/10 21:19更新,#genre#
2026功夫女足,https://v.lfthirtytwo.com/20260723/8846_f4084a75/index.m3u8
央视频道,#genre#
CCTV1,http://114.100.195.214:4022/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://114.254.35.127:18888/rtp/239.3.1.129:8008$北京市联通
CCTV1,http://183.222.206.14:8096/udp/239.94.0.31:5140$四川电信
CCTV1,http://171.213.155.195:8188/udp/239.94.0.31:5140$四川电信
CCTV1,http://112.66.104.195:8888/rtp/239.253.64.120:5140$海南电信
CCTV1,http://112.66.104.63:8888/rtp/239.253.64.120:5140$海南电信
CCTV2,http://114.100.195.214:4022/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://114.254.35.127:18888/rtp/239.3.1.60:8084$北京市联通
CCTV2,http://183.222.206.14:8096/udp/239.94.0.2:5140$四川电信
CCTV2,http://171.213.155.195:8188/udp/239.94.0.2:5140$四川电信
CCTV2,http://112.66.104.195:8888/rtp/239.253.64.195:5140$海南电信
CCTV2,http://112.66.104.63:8888/rtp/239.253.64.195:5140$海南电信
CCTV3,http://114.100.195.214:4022/rtp/238.1.78.170:7232$安徽电信
CCTV3,http://114.254.35.127:18888/rtp/239.3.1.172:8001$北京市联通
CCTV3,http://183.222.206.14:8096/udp/239.94.0.32:5140$四川电信
CCTV3,http://171.213.155.195:8188/udp/239.94.0.32:5140$四川电信
CCTV3,http://112.66.104.195:8888/rtp/239.253.64.244:5140$海南电信
CCTV3,http://112.66.104.63:8888/rtp/239.253.64.244:5140$海南电信
CCTV4,http://114.100.195.214:4022/rtp/238.1.78.236:7760$安徽电信
CCTV4,http://114.254.35.127:18888/rtp/239.3.1.105:8092$北京市联通
CCTV4,http://183.222.206.14:8096/udp/239.94.0.4:5140$四川电信
CCTV4,http://171.213.155.195:8188/udp/239.94.0.4:5140$四川电信
CCTV4,http://112.66.104.195:8888/rtp/239.253.64.196:5140$海南电信
CCTV4,http://112.66.104.63:8888/rtp/239.253.64.196:5140$海南电信
CCTV4K,http://114.100.195.214:4022/rtp/238.1.78.137:6968$安徽电信
CCTV4K,http://183.222.206.14:8096/udp/239.94.0.20:5140$四川电信
CCTV4K,http://171.213.155.195:8188/udp/239.94.0.20:5140$四川电信
CCTV4K,http://112.66.104.195:8888/rtp/239.253.64.48:5140$海南电信
CCTV4K,http://112.66.104.63:8888/rtp/239.253.64.48:5140$海南电信
CCTV4欧洲,http://114.254.35.127:18888/rtp/239.3.1.213:4220$北京市联通
CCTV4欧洲,http://112.66.104.195:8888/rtp/239.253.64.77:5140$海南电信
CCTV4欧洲,http://112.66.104.63:8888/rtp/239.253.64.77:5140$海南电信
CCTV4美洲,http://114.254.35.127:18888/rtp/239.3.1.214:4220$北京市联通
CCTV4美洲,http://112.66.104.195:8888/rtp/239.253.64.78:5140$海南电信
CCTV4美洲,http://112.66.104.63:8888/rtp/239.253.64.78:5140$海南电信
CCTV5,http://114.100.195.214:4022/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://114.254.35.127:18888/rtp/239.3.1.173:8001$北京市联通
CCTV5,http://183.222.206.14:8096/udp/239.94.0.33:5140$四川电信
CCTV5,http://171.213.155.195:8188/udp/239.94.0.33:5140$四川电信
CCTV5,http://112.66.104.195:8888/rtp/239.253.64.245:5140$海南电信
CCTV5,http://112.66.104.63:8888/rtp/239.253.64.245:5140$海南电信
CCTV5+,http://114.100.195.214:4022/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://114.254.35.127:18888/rtp/239.3.1.130:8004$北京市联通
CCTV5+,http://183.222.206.14:8096/udp/239.94.0.23:5140$四川电信
CCTV5+,http://171.213.155.195:8188/udp/239.94.0.23:5140$四川电信
CCTV5+,http://112.66.104.195:8888/rtp/239.253.64.100:5140$海南电信
CCTV5+,http://112.66.104.63:8888/rtp/239.253.64.100:5140$海南电信
CCTV6,http://114.100.195.214:4022/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://114.254.35.127:18888/rtp/239.3.1.174:8001$北京市联通
CCTV6,http://183.222.206.14:8096/udp/239.94.0.34:5140$四川电信
CCTV6,http://171.213.155.195:8188/udp/239.94.0.34:5140$四川电信
CCTV6,http://112.66.104.195:8888/rtp/239.253.64.246:5140$海南电信
CCTV6,http://112.66.104.63:8888/rtp/239.253.64.246:5140$海南电信
CCTV7,http://114.100.195.214:4022/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://114.254.35.127:18888/rtp/239.3.1.61:8104$北京市联通
CCTV7,http://183.222.206.14:8096/udp/239.94.0.7:5140$四川电信
CCTV7,http://171.213.155.195:8188/udp/239.94.0.7:5140$四川电信
CCTV7,http://112.66.104.195:8888/rtp/239.253.64.54:5140$海南电信
CCTV7,http://112.66.104.63:8888/rtp/239.253.64.54:5140$海南电信
CCTV8,http://114.100.195.214:4022/rtp/238.1.78.173:7256$安徽电信
CCTV8,http://114.254.35.127:18888/rtp/239.3.1.175:8001$北京市联通
CCTV8,http://183.222.206.14:8096/udp/239.94.0.35:5140$四川电信
CCTV8,http://171.213.155.195:8188/udp/239.94.0.35:5140$四川电信
CCTV8,http://112.66.104.195:8888/rtp/239.253.64.247:5140$海南电信
CCTV8,http://112.66.104.63:8888/rtp/239.253.64.247:5140$海南电信
CCTV9,http://114.100.195.214:4022/rtp/238.1.78.240:7792$安徽电信
CCTV9,http://114.254.35.127:18888/rtp/239.3.1.62:8112$北京市联通
CCTV9,http://183.222.206.14:8096/udp/239.94.0.9:5140$四川电信
CCTV9,http://171.213.155.195:8188/udp/239.94.0.9:5140$四川电信
CCTV9,http://112.66.104.195:8888/rtp/239.253.64.76:5140$海南电信
CCTV9,http://112.66.104.63:8888/rtp/239.253.64.76:5140$海南电信
CCTV10,http://114.100.195.214:4022/rtp/238.1.78.241:7800$安徽电信
CCTV10,http://114.254.35.127:18888/rtp/239.3.1.63:8116$北京市联通
CCTV10,http://183.222.206.14:8096/udp/239.94.0.10:5140$四川电信
CCTV10,http://171.213.155.195:8188/udp/239.94.0.10:5140$四川电信
CCTV10,http://112.66.104.195:8888/rtp/239.253.64.87:5140$海南电信
CCTV10,http://112.66.104.63:8888/rtp/239.253.64.87:5140$海南电信
CCTV11,http://114.100.195.214:4022/rtp/238.1.78.206:7502$安徽电信
CCTV11,http://114.254.35.127:18888/rtp/239.3.1.152:8120$北京市联通
CCTV11,http://183.222.206.14:8096/udp/239.94.0.36:5140$四川电信
CCTV11,http://171.213.155.195:8188/udp/239.94.0.36:5140$四川电信
CCTV11,http://112.66.104.195:8888/rtp/239.253.64.70:5140$海南电信
CCTV11,http://112.66.104.63:8888/rtp/239.253.64.70:5140$海南电信
CCTV12,http://114.100.195.214:4022/rtp/238.1.78.242:7808$安徽电信
CCTV12,http://114.254.35.127:18888/rtp/239.3.1.64:8124$北京市联通
CCTV12,http://183.222.206.14:8096/udp/239.94.0.12:5140$四川电信
CCTV12,http://171.213.155.195:8188/udp/239.94.0.12:5140$四川电信
CCTV12,http://112.66.104.195:8888/rtp/239.253.64.97:5140$海南电信
CCTV12,http://112.66.104.63:8888/rtp/239.253.64.97:5140$海南电信
CCTV13,http://114.100.195.214:4022/rtp/238.1.79.35:4392$安徽电信
CCTV13,http://114.254.35.127:18888/rtp/239.3.1.124:8128$北京市联通
CCTV13,http://183.222.206.14:8096/udp/239.94.0.37:5140$四川电信
CCTV13,http://171.213.155.195:8188/udp/239.94.0.37:5140$四川电信
CCTV13,http://112.66.104.195:8888/rtp/239.253.64.59:5140$海南电信
CCTV13,http://112.66.104.63:8888/rtp/239.253.64.59:5140$海南电信
CCTV14,http://114.100.195.214:4022/rtp/238.1.78.243:7816$安徽电信
CCTV14,http://114.254.35.127:18888/rtp/239.3.1.65:8132$北京市联通
CCTV14,http://183.222.206.14:8096/udp/239.94.0.14:5140$四川电信
CCTV14,http://171.213.155.195:8188/udp/239.94.0.14:5140$四川电信
CCTV14,http://112.66.104.195:8888/rtp/239.253.64.115:5140$海南电信
CCTV14,http://112.66.104.63:8888/rtp/239.253.64.115:5140$海南电信
CCTV15,http://114.100.195.214:4022/rtp/238.1.78.222:7648$安徽电信
CCTV15,http://114.254.35.127:18888/rtp/239.3.1.153:8136$北京市联通
CCTV15,http://183.222.206.14:8096/udp/239.94.0.38:5140$四川电信
CCTV15,http://171.213.155.195:8188/udp/239.94.0.38:5140$四川电信
CCTV15,http://112.66.104.195:8888/rtp/239.253.64.72:5140$海南电信
CCTV15,http://112.66.104.63:8888/rtp/239.253.64.72:5140$海南电信
CCTV16,http://114.254.35.127:18888/rtp/239.3.1.184:8001$北京市联通
CCTV16,http://112.66.104.195:8888/rtp/239.253.64.251:5140$海南电信
CCTV16,http://112.66.104.63:8888/rtp/239.253.64.251:5140$海南电信
CCTV17,http://114.100.195.214:4022/rtp/238.1.78.178:7296$安徽电信
CCTV17,http://114.254.35.127:18888/rtp/239.3.1.151:8144$北京市联通
CCTV17,http://183.222.206.14:8096/udp/239.94.0.39:5140$四川电信
CCTV17,http://171.213.155.195:8188/udp/239.94.0.39:5140$四川电信
CCTV17,http://112.66.104.195:8888/rtp/239.253.64.67:5140$海南电信
CCTV17,http://112.66.104.63:8888/rtp/239.253.64.67:5140$海南电信
CCTV16 4K,http://112.66.104.195:8888/rtp/239.253.64.126:5140$海南电信
CCTV16 4K,http://112.66.104.63:8888/rtp/239.253.64.126:5140$海南电信
CGTN英语,http://114.254.35.127:18888/rtp/239.3.1.215:4220$北京市联通
CGTN英语,http://112.66.104.195:8888/rtp/239.253.64.17:5140$海南电信
CGTN英语,http://112.66.104.63:8888/rtp/239.253.64.17:5140$海南电信
CGTN纪录,http://114.254.35.127:18888/rtp/239.3.1.216:4220$北京市联通
CGTN记录,http://112.66.104.195:8888/rtp/239.253.64.58:5140$海南电信
CGTN记录,http://112.66.104.63:8888/rtp/239.253.64.58:5140$海南电信
CGTN西班牙语,http://114.254.35.127:18888/rtp/239.3.1.217:4220$北京市联通
CGTN西班牙语,http://183.222.206.14:8096/udp/239.94.1.65:5140$四川电信
CGTN西班牙语,http://171.213.155.195:8188/udp/239.94.1.65:5140$四川电信
CGTN法语,http://114.254.35.127:18888/rtp/239.3.1.218:4220$北京市联通
CGTN法语,http://183.222.206.14:8096/udp/239.94.1.66:5140$四川电信
CGTN法语,http://171.213.155.195:8188/udp/239.94.1.66:5140$四川电信
CGTN法语,http://112.66.104.195:8888/rtp/239.253.64.73:5140$海南电信
CGTN法语,http://112.66.104.63:8888/rtp/239.253.64.73:5140$海南电信
CGTN阿拉伯语,http://114.254.35.127:18888/rtp/239.3.1.219:4220$北京市联通
CGTN俄语,http://114.254.35.127:18888/rtp/239.3.1.220:4220$北京市联通
CGTN俄语,http://112.66.104.195:8888/rtp/239.253.64.75:5140$海南电信
CGTN俄语,http://112.66.104.63:8888/rtp/239.253.64.75:5140$海南电信
第一剧场,http://114.100.195.214:4022/rtp/238.1.79.63:4640$安徽电信
怀旧剧场,http://114.100.195.214:4022/rtp/238.1.79.61:4624$安徽电信
风云剧场,http://114.100.195.214:4022/rtp/238.1.79.62:4632$安徽电信
风云音乐,http://114.100.195.214:4022/rtp/238.1.79.64:4648$安徽电信
兵器科技,http://114.100.195.214:4022/rtp/238.1.79.56:4584$安徽电信
风云足球,http://114.100.195.214:4022/rtp/238.1.79.57:4592$安徽电信
高尔夫网球,http://114.100.195.214:4022/rtp/238.1.79.58:4600$安徽电信
央视台球,http://114.100.195.214:4022/rtp/238.1.79.59:4608$安徽电信
女性时尚,http://114.100.195.214:4022/rtp/238.1.79.55:4576$安徽电信
电视指南,http://114.100.195.214:4022/rtp/238.1.79.53:4560$安徽电信
央视文化精品,http://114.100.195.214:4022/rtp/238.1.79.54:4568$安徽电信
世界地理,http://114.100.195.214:4022/rtp/238.1.79.60:4616$安徽电信
中国天气,http://183.222.206.14:8096/udp/239.94.1.167:5140$四川电信
中国天气,http://171.213.155.195:8188/udp/239.94.1.167:5140$四川电信
中国天气,http://112.66.104.195:8888/rtp/239.253.64.79:5140$海南电信
中国天气,http://112.66.104.63:8888/rtp/239.253.64.79:5140$海南电信
中国交通,http://114.254.35.127:18888/rtp/239.3.1.188:8001$北京市联通
中国交通,http://183.222.206.14:8096/udp/239.94.0.87:5140$四川电信
中国交通,http://171.213.155.195:8188/udp/239.94.0.87:5140$四川电信
CETV1,http://114.100.195.214:4022/rtp/238.1.78.158:7136$安徽电信
CETV1,http://114.254.35.127:18888/rtp/239.3.1.57:8152$北京市联通
CETV1,http://183.222.206.14:8096/udp/239.94.1.2:5140$四川电信
CETV1,http://171.213.155.195:8188/udp/239.94.1.2:5140$四川电信
CETV1,http://112.66.104.195:8888/rtp/239.253.64.169:5140$海南电信
CETV1,http://112.66.104.63:8888/rtp/239.253.64.169:5140$海南电信
CETV2,http://114.254.35.127:18888/rtp/239.3.1.54:4120$北京市联通
CETV2,http://183.222.206.14:8096/udp/239.94.1.19:5140$四川电信
CETV2,http://171.213.155.195:8188/udp/239.94.1.19:5140$四川电信
CETV2,http://112.66.104.195:8888/rtp/239.253.64.128:5140$海南电信
CETV2,http://112.66.104.63:8888/rtp/239.253.64.128:5140$海南电信
CETV4,http://114.254.35.127:18888/rtp/239.3.1.56:4120$北京市联通
CETV4,http://183.222.206.14:8096/udp/239.94.1.20:5140$四川电信
CETV4,http://171.213.155.195:8188/udp/239.94.1.20:5140$四川电信
CETV4,http://112.66.104.195:8888/rtp/239.253.64.139:5140$海南电信
CETV4,http://112.66.104.63:8888/rtp/239.253.64.139:5140$海南电信
书画频道,http://183.222.206.14:8096/udp/239.94.1.163:5140$四川电信
书画频道,http://171.213.155.195:8188/udp/239.94.1.163:5140$四川电信
卫视频道,#genre#
凤凰中文,http://183.222.206.14:8096/udp/239.94.2.51:5140$四川电信
凤凰中文,http://171.213.155.195:8188/udp/239.94.2.51:5140$四川电信
凤凰资讯,http://183.222.206.14:8096/udp/239.94.2.50:5140$四川电信
凤凰资讯,http://171.213.155.195:8188/udp/239.94.2.50:5140$四川电信
星空卫视,http://183.222.206.14:8096/udp/239.94.2.53:5140$四川电信
星空卫视,http://171.213.155.195:8188/udp/239.94.2.53:5140$四川电信
CHANNEL-V,http://183.222.206.14:8096/udp/239.94.2.55:5140$四川电信
CHANNEL-V,http://171.213.155.195:8188/udp/239.94.2.55:5140$四川电信
湖南卫视,http://114.100.195.214:4022/rtp/238.1.78.160:7152$安徽电信
湖南卫视,http://114.254.35.127:18888/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://183.222.206.14:8096/udp/239.94.0.116:5140$四川电信
湖南卫视,http://171.213.155.195:8188/udp/239.94.0.116:5140$四川电信
湖南卫视,http://183.222.206.14:8096/udp/239.94.0.61:5140$四川电信
湖南卫视,http://171.213.155.195:8188/udp/239.94.0.61:5140$四川电信
湖南卫视,http://112.66.104.195:8888/rtp/239.253.64.114:5140$海南电信
湖南卫视,http://112.66.104.63:8888/rtp/239.253.64.114:5140$海南电信
湖南卫视4K,http://112.66.104.195:8888/rtp/239.253.64.60:5140$海南电信
湖南卫视4K,http://112.66.104.63:8888/rtp/239.253.64.60:5140$海南电信
浙江卫视,http://114.100.195.214:4022/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://114.254.35.127:18888/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://183.222.206.14:8096/udp/239.94.0.118:5140$四川电信
浙江卫视,http://171.213.155.195:8188/udp/239.94.0.118:5140$四川电信
浙江卫视,http://183.222.206.14:8096/udp/239.94.0.63:5140$四川电信
浙江卫视,http://171.213.155.195:8188/udp/239.94.0.63:5140$四川电信
浙江卫视,http://112.66.104.195:8888/rtp/239.253.64.206:5140$海南电信
浙江卫视,http://112.66.104.63:8888/rtp/239.253.64.206:5140$海南电信
浙江卫视4K,http://112.66.104.195:8888/rtp/239.253.64.62:5140$海南电信
浙江卫视4K,http://112.66.104.63:8888/rtp/239.253.64.62:5140$海南电信
东方卫视,http://114.100.195.214:4022/rtp/238.1.78.163:7176$安徽电信
东方卫视,http://114.254.35.127:18888/rtp/239.3.1.136:8032$北京市联通
东方卫视,http://183.222.206.14:8096/udp/239.94.0.64:5140$四川电信
东方卫视,http://171.213.155.195:8188/udp/239.94.0.64:5140$四川电信
东方卫视,http://112.66.104.195:8888/rtp/239.253.64.201:5140$海南电信
东方卫视,http://112.66.104.63:8888/rtp/239.253.64.201:5140$海南电信
东方卫视4K,http://112.66.104.195:8888/rtp/239.253.64.63:5140$海南电信
东方卫视4K,http://112.66.104.63:8888/rtp/239.253.64.63:5140$海南电信
北京卫视,http://114.100.195.214:4022/rtp/238.1.78.162:7168$安徽电信
北京卫视,http://114.254.35.127:18888/rtp/239.3.1.241:8000$北京市联通
北京卫视,http://183.222.206.14:8096/udp/239.94.0.112:5140$四川电信
北京卫视,http://171.213.155.195:8188/udp/239.94.0.112:5140$四川电信
北京卫视,http://183.222.206.14:8096/udp/239.94.0.65:5140$四川电信
北京卫视,http://171.213.155.195:8188/udp/239.94.0.65:5140$四川电信
北京卫视,http://112.66.104.195:8888/rtp/239.253.64.204:5140$海南电信
北京卫视,http://112.66.104.63:8888/rtp/239.253.64.204:5140$海南电信
北京卫视4K,http://112.66.104.195:8888/rtp/239.253.64.92:5140$海南电信
北京卫视4K,http://112.66.104.63:8888/rtp/239.253.64.92:5140$海南电信
江苏卫视,http://114.100.195.214:4022/rtp/238.1.78.165:7192$安徽电信
江苏卫视,http://114.254.35.127:18888/rtp/239.3.1.135:8028$北京市联通
江苏卫视,http://183.222.206.14:8096/udp/239.94.0.117:5140$四川电信
江苏卫视,http://171.213.155.195:8188/udp/239.94.0.117:5140$四川电信
江苏卫视,http://183.222.206.14:8096/udp/239.94.0.62:5140$四川电信
江苏卫视,http://171.213.155.195:8188/udp/239.94.0.62:5140$四川电信
江苏卫视,http://112.66.104.195:8888/rtp/239.253.64.202:5140$海南电信
江苏卫视,http://112.66.104.63:8888/rtp/239.253.64.202:5140$海南电信
江苏卫视4K,http://112.66.104.195:8888/rtp/239.253.64.61:5140$海南电信
江苏卫视4K,http://112.66.104.63:8888/rtp/239.253.64.61:5140$海南电信
安徽卫视,http://114.100.195.214:4022/rtp/238.1.79.27:4328$安徽电信
安徽卫视,http://114.100.195.214:4022/rtp/238.1.78.150:7072$安徽电信
安徽卫视,http://114.254.35.127:18888/rtp/239.3.1.211:8064$北京市联通
安徽卫视,http://183.222.206.14:8096/udp/239.94.0.85:5140$四川电信
安徽卫视,http://171.213.155.195:8188/udp/239.94.0.85:5140$四川电信
安徽卫视,http://112.66.104.195:8888/rtp/239.253.64.129:5140$海南电信
安徽卫视,http://112.66.104.63:8888/rtp/239.253.64.129:5140$海南电信
重庆卫视,http://114.100.195.214:4022/rtp/238.1.78.31:6176$安徽电信
重庆卫视,http://114.254.35.127:18888/rtp/239.3.1.122:8160$北京市联通
重庆卫视,http://183.222.206.14:8096/udp/239.94.0.82:5140$四川电信
重庆卫视,http://171.213.155.195:8188/udp/239.94.0.82:5140$四川电信
重庆卫视,http://112.66.104.195:8888/rtp/239.253.64.55:5140$海南电信
重庆卫视,http://112.66.104.63:8888/rtp/239.253.64.55:5140$海南电信
四川卫视,http://114.100.195.214:4022/rtp/238.1.78.30:6168$安徽电信
四川卫视,http://114.254.35.127:18888/rtp/239.3.1.29:8288$北京市联通
四川卫视,http://183.222.206.14:8096/udp/239.94.0.59:5140$四川电信
四川卫视,http://171.213.155.195:8188/udp/239.94.0.59:5140$四川电信
四川卫视,http://112.66.104.195:8888/rtp/239.253.64.36:5140$海南电信
四川卫视,http://112.66.104.63:8888/rtp/239.253.64.36:5140$海南电信
