其它频道,#genre#
上海都市,http://223.166.244.186:8001/rtp/233.18.204.53:5140$上海联通
CCTV16 4K,http://223.166.244.186:8001/rtp/233.18.204.114:5140$上海联通
BesTV4K动画,http://223.166.244.186:8001/rtp/233.18.204.171:5140$上海联通
BesTV4K电影,http://223.166.244.186:8001/rtp/233.18.204.169:5140$上海联通
BesTV4K记录,http://223.166.244.186:8001/rtp/233.18.204.170:5140$上海联通
天翼高清4K,http://223.166.244.186:8001/rtp/233.18.204.201:5140$上海联通
世界地理,http://223.166.244.186:8001/rtp/233.18.204.179:5140$上海联通
茶频道,http://223.166.244.186:8001/rtp/233.18.204.43:5140$上海联通
财富天下,http://223.166.244.186:8001/rtp/233.18.204.231:5140$上海联通
央广购物,http://223.166.244.186:8001/rtp/233.18.204.39:5140$上海联通
BesTV电影介绍,http://223.166.244.186:8001/rtp/233.18.204.116:5140$上海联通
上海新闻综合,http://223.166.244.186:8001/rtp/233.18.204.57:5140$上海联通
东方购物1,http://223.166.244.186:8001/rtp/233.18.204.61:5140$上海联通
东方购物2,http://223.166.244.186:8001/rtp/233.18.204.62:5140$上海联通
体育频道,#genre#
五星体育,http://223.166.244.186:8001/rtp/233.18.204.58:5140$上海联通
游戏风云,http://223.166.244.186:8001/rtp/233.18.204.44:5140$上海联通
快乐垂钓,http://223.166.244.186:8001/rtp/233.18.204.42:5140$上海联通
央视频道,#genre#
CCTV4K,http://223.166.244.186:8001/rtp/233.18.204.188:5140$上海联通
CETV1,http://223.166.244.186:8001/rtp/233.18.204.98:5140$上海联通
CETV4,http://223.166.244.186:8001/rtp/233.18.204.111:5140$上海联通
CETV早期教育,http://223.166.244.186:8001/rtp/233.18.204.187:5140$上海联通
第一剧场,http://223.166.244.186:8001/rtp/233.18.204.184:5140$上海联通
风云剧场,http://223.166.244.186:8001/rtp/233.18.204.183:5140$上海联通
风云足球,http://223.166.244.186:8001/rtp/233.18.204.176:5140$上海联通
风云音乐,http://223.166.244.186:8001/rtp/233.18.204.185:5140$上海联通
怀旧剧场,http://223.166.244.186:8001/rtp/233.18.204.182:5140$上海联通
兵器科技,http://223.166.244.186:8001/rtp/233.18.204.178:5140$上海联通
女性时尚,http://223.166.244.186:8001/rtp/233.18.204.180:5140$上海联通
高尔夫网球,http://223.166.244.186:8001/rtp/233.18.204.181:5140$上海联通
央视台球,http://223.166.244.186:8001/rtp/233.18.204.177:5140$上海联通
文化精品,http://223.166.244.186:8001/rtp/233.18.204.186:5140$上海联通
4K专区,#genre#
北京卫视4K,http://223.166.244.186:8001/rtp/233.18.204.209:5140$上海联通
东方卫视4K,http://223.166.244.186:8001/rtp/233.18.204.224:5140$上海联通
广东卫视4K,http://223.166.244.186:8001/rtp/233.18.204.218:5140$上海联通
深圳卫视4K,http://223.166.244.186:8001/rtp/233.18.204.219:5140$上海联通
湖南卫视4K,http://223.166.244.186:8001/rtp/233.18.204.227:5140$上海联通
山东卫视4K,http://223.166.244.186:8001/rtp/233.18.204.228:5140$上海联通
四川卫视4K,http://223.166.244.186:8001/rtp/233.18.204.225:5140$上海联通
浙江卫视4K,http://223.166.244.186:8001/rtp/233.18.204.229:5140$上海联通
江苏卫视4K,http://223.166.244.186:8001/rtp/233.18.204.226:5140$上海联通
欢笑剧场4K,http://223.166.244.186:8001/rtp/233.18.204.115:5140$上海联通
欢笑剧场,http://223.166.244.186:8001/rtp/233.18.204.50:5140$上海联通
数字频道,#genre#
CHC影迷电影,http://223.166.244.186:8001/rtp/233.18.204.175:5140$上海联通
CHC家庭影院,http://223.166.244.186:8001/rtp/233.18.204.173:5140$上海联通
CHC动作电影,http://223.166.244.186:8001/rtp/233.18.204.174:5140$上海联通
法治天地,http://223.166.244.186:8001/rtp/233.18.204.49:5140$上海联通
金鹰纪实,http://223.166.244.186:8001/rtp/233.18.204.104:5140$上海联通
生活时尚,http://223.166.244.186:8001/rtp/233.18.204.45:5140$上海联通
乐游,http://223.166.244.186:8001/rtp/233.18.204.47:5140$上海联通
都市剧场,http://223.166.244.186:8001/rtp/233.18.204.48:5140$上海联通
少儿频道,#genre#
金色学堂,http://223.166.244.186:8001/rtp/233.18.204.66:5140$上海联通
动漫秀场,http://223.166.244.186:8001/rtp/233.18.204.46:5140$上海联通
金鹰卡通,http://223.166.244.186:8001/rtp/233.18.204.113:5140$上海联通
卡酷少儿,http://223.166.244.186:8001/rtp/233.18.204.109:5140$上海联通
卫视频道,#genre#
内蒙古卫视,http://223.166.244.186:8001/rtp/233.18.204.217:5140$上海联通
宁夏卫视,http://223.166.244.186:8001/rtp/233.18.204.230:5140$上海联通
甘肃卫视,http://223.166.244.186:8001/rtp/233.18.204.110:5140$上海联通
青海卫视,http://223.166.244.186:8001/rtp/233.18.204.112:5140$上海联通
新疆卫视,http://223.166.244.186:8001/rtp/233.18.204.220:5140$上海联通
西藏卫视,http://223.166.244.186:8001/rtp/233.18.204.222:5140$上海联通
兵团卫视,http://223.166.244.186:8001/rtp/233.18.204.221:5140$上海联通
三沙卫视,http://223.166.244.186:8001/rtp/233.18.204.172:5140$上海联通
