其它频道,#genre#
上海都市,http://223.166.244.186:8001/rtp/233.18.204.53:5140$上海联通1
CCTV16 4K,http://223.166.244.186:8001/rtp/233.18.204.114:5140$上海联通1
BesTV4K动画,http://223.166.244.186:8001/rtp/233.18.204.171:5140$上海联通1
BesTV4K电影,http://223.166.244.186:8001/rtp/233.18.204.169:5140$上海联通1
BesTV4K记录,http://223.166.244.186:8001/rtp/233.18.204.170:5140$上海联通1
天翼高清4K,http://223.166.244.186:8001/rtp/233.18.204.201:5140$上海联通1
世界地理,http://223.166.244.186:8001/rtp/233.18.204.179:5140$上海联通1
茶频道,http://223.166.244.186:8001/rtp/233.18.204.43:5140$上海联通1
财富天下,http://223.166.244.186:8001/rtp/233.18.204.231:5140$上海联通1
央广购物,http://223.166.244.186:8001/rtp/233.18.204.39:5140$上海联通1
BesTV电影介绍,http://223.166.244.186:8001/rtp/233.18.204.116:5140$上海联通1
上海新闻综合,http://223.166.244.186:8001/rtp/233.18.204.57:5140$上海联通1
东方购物1,http://223.166.244.186:8001/rtp/233.18.204.61:5140$上海联通1
东方购物2,http://223.166.244.186:8001/rtp/233.18.204.62:5140$上海联通1
体育频道,#genre#
五星体育,http://223.166.244.186:8001/rtp/233.18.204.58:5140$上海联通1
游戏风云,http://223.166.244.186:8001/rtp/233.18.204.44:5140$上海联通1
快乐垂钓,http://223.166.244.186:8001/rtp/233.18.204.42:5140$上海联通1
央视频道,#genre#
CCTV4K,http://223.166.244.186:8001/rtp/233.18.204.188:5140$上海联通1
CCTV1,http://223.166.244.186:8001/rtp/233.18.204.168:5140$上海联通1
CCTV2,http://223.166.244.186:8001/rtp/233.18.204.68:5140$上海联通1
CCTV3,http://223.166.244.186:8001/rtp/233.18.204.69:5140$上海联通1
CCTV4,http://223.166.244.186:8001/rtp/233.18.204.70:5140$上海联通1
CCTV5,http://223.166.244.186:8001/rtp/233.18.204.71:5140$上海联通1
CCTV5+,http://223.166.244.186:8001/rtp/233.18.204.67:5140$上海联通1
CCTV6,http://223.166.244.186:8001/rtp/233.18.204.72:5140$上海联通1
CCTV7,http://223.166.244.186:8001/rtp/233.18.204.73:5140$上海联通1
CCTV8,http://223.166.244.186:8001/rtp/233.18.204.74:5140$上海联通1
CCTV9,http://223.166.244.186:8001/rtp/233.18.204.75:5140$上海联通1
CCTV10,http://223.166.244.186:8001/rtp/233.18.204.76:5140$上海联通1
CCTV11,http://223.166.244.186:8001/rtp/233.18.204.77:5140$上海联通1
CCTV12,http://223.166.244.186:8001/rtp/233.18.204.78:5140$上海联通1
CCTV13,http://223.166.244.186:8001/rtp/233.18.204.79:5140$上海联通1
CCTV14,http://223.166.244.186:8001/rtp/233.18.204.80:5140$上海联通1
CCTV15,http://223.166.244.186:8001/rtp/233.18.204.81:5140$上海联通1
CCTV16,http://223.166.244.186:8001/rtp/233.18.204.82:5140$上海联通1
CCTV17,http://223.166.244.186:8001/rtp/233.18.204.83:5140$上海联通1
CETV1,http://223.166.244.186:8001/rtp/233.18.204.98:5140$上海联通1
CETV4,http://223.166.244.186:8001/rtp/233.18.204.111:5140$上海联通1
CETV早期教育,http://223.166.244.186:8001/rtp/233.18.204.187:5140$上海联通1
第一剧场,http://223.166.244.186:8001/rtp/233.18.204.184:5140$上海联通1
风云剧场,http://223.166.244.186:8001/rtp/233.18.204.183:5140$上海联通1
风云足球,http://223.166.244.186:8001/rtp/233.18.204.176:5140$上海联通1
风云音乐,http://223.166.244.186:8001/rtp/233.18.204.185:5140$上海联通1
怀旧剧场,http://223.166.244.186:8001/rtp/233.18.204.182:5140$上海联通1
兵器科技,http://223.166.244.186:8001/rtp/233.18.204.178:5140$上海联通1
女性时尚,http://223.166.244.186:8001/rtp/233.18.204.180:5140$上海联通1
高尔夫网球,http://223.166.244.186:8001/rtp/233.18.204.181:5140$上海联通1
央视台球,http://223.166.244.186:8001/rtp/233.18.204.177:5140$上海联通1
文化精品,http://223.166.244.186:8001/rtp/233.18.204.186:5140$上海联通1
卫视频道,#genre#
北京卫视4K,http://223.166.244.186:8001/rtp/233.18.204.209:5140$上海联通1
东方卫视4K,http://223.166.244.186:8001/rtp/233.18.204.224:5140$上海联通1
广东卫视4K,http://223.166.244.186:8001/rtp/233.18.204.218:5140$上海联通1
深圳卫视4K,http://223.166.244.186:8001/rtp/233.18.204.219:5140$上海联通1
湖南卫视4K,http://223.166.244.186:8001/rtp/233.18.204.227:5140$上海联通1
山东卫视4K,http://223.166.244.186:8001/rtp/233.18.204.228:5140$上海联通1
四川卫视4K,http://223.166.244.186:8001/rtp/233.18.204.225:5140$上海联通1
浙江卫视4K,http://223.166.244.186:8001/rtp/233.18.204.229:5140$上海联通1
江苏卫视4K,http://223.166.244.186:8001/rtp/233.18.204.226:5140$上海联通1
重庆卫视,http://223.166.244.186:8001/rtp/233.18.204.100:5140$上海联通1
江苏卫视,http://223.166.244.186:8001/rtp/233.18.204.85:5140$上海联通1
浙江卫视,http://223.166.244.186:8001/rtp/233.18.204.84:5140$上海联通1
东方卫视,http://223.166.244.186:8001/rtp/233.18.204.51:5140$上海联通1
深圳卫视,http://223.166.244.186:8001/rtp/233.18.204.89:5140$上海联通1
北京卫视,http://223.166.244.186:8001/rtp/233.18.204.87:5140$上海联通1
山东卫视,http://223.166.244.186:8001/rtp/233.18.204.91:5140$上海联通1
天津卫视,http://223.166.244.186:8001/rtp/233.18.204.97:5140$上海联通1
贵州卫视,http://223.166.244.186:8001/rtp/233.18.204.101:5140$上海联通1
云南卫视,http://223.166.244.186:8001/rtp/233.18.204.106:5140$上海联通1
广西卫视,http://223.166.244.186:8001/rtp/233.18.204.107:5140$上海联通1
黑龙江卫视,http://223.166.244.186:8001/rtp/233.18.204.90:5140$上海联通1
安徽卫视,http://223.166.244.186:8001/rtp/233.18.204.93:5140$上海联通1
山西卫视,http://223.166.244.186:8001/rtp/233.18.204.211:5140$上海联通1
江西卫视,http://223.166.244.186:8001/rtp/233.18.204.95:5140$上海联通1
湖北卫视,http://223.166.244.186:8001/rtp/233.18.204.92:5140$上海联通1
