央视频道,#genre#
CETV2,http://175.152.156.44:2715/rtp/239.0.0.196:5140$四川联通
CETV4,http://175.152.156.44:2715/rtp/239.0.0.98:5140$四川联通
中央新影-老故事,http://175.152.156.44:2715/rtp/239.0.0.27:5140$四川联通
中央新影-中学生,http://175.152.156.44:2715/rtp/239.0.0.29:5140$四川联通
中国交通,http://175.152.156.44:2715/rtp/239.0.0.143:5140$四川联通
CCTV-4K 超高清,http://175.152.156.44:2715/rtp/239.0.0.184:5140$四川联通
卫视频道,#genre#
甘肃卫视,http://175.152.156.44:2715/rtp/239.0.0.192:5140$四川联通
新疆卫视,http://175.152.156.44:2715/rtp/239.0.0.38:5140$四川联通
西藏卫视,http://175.152.156.44:2715/rtp/239.0.0.39:5140$四川联通
内蒙古卫视,http://175.152.156.44:2715/rtp/239.0.0.79:5140$四川联通
宁夏卫视,http://175.152.156.44:2715/rtp/239.0.0.35:5140$四川联通
青海卫视,http://175.152.156.44:2715/rtp/239.0.0.108:5140$四川联通
兵团卫视,http://175.152.156.44:2715/rtp/239.0.0.41:5140$四川联通
三沙卫视,http://175.152.156.44:2715/rtp/239.0.0.195:5140$四川联通
康巴卫视,http://175.152.156.44:2715/rtp/239.0.0.175:5140$四川联通
厦门卫视,http://175.152.156.44:2715/rtp/239.0.0.194:5140$四川联通
北京卫视4K,http://175.152.156.44:2715/rtp/239.0.0.198:5140$四川联通
东方卫视4K,http://175.152.156.44:2715/rtp/239.0.0.207:5140$四川联通
广东卫视4K,http://175.152.156.44:2715/rtp/239.0.0.200:5140$四川联通
深圳卫视4K,http://175.152.156.44:2715/rtp/239.0.0.199:5140$四川联通
湖南卫视4K,http://175.152.156.44:2715/rtp/239.0.0.204:5140$四川联通
江苏卫视4K,http://175.152.156.44:2715/rtp/239.0.0.205:5140$四川联通
浙江卫视4K,http://175.152.156.44:2715/rtp/239.0.0.206:5140$四川联通
山东卫视4K,http://175.152.156.44:2715/rtp/239.0.0.208:5140$四川联通
四川卫视4K,http://175.152.156.44:2715/rtp/239.0.0.203:5140$四川联通
其它频道,#genre#
安多卫视,http://175.152.156.44:2715/rtp/239.0.0.109:5140$四川联通
延边卫视,http://175.152.156.44:2715/rtp/239.0.0.76:5140$四川联通
4K专区,#genre#
欢笑剧场4K,http://175.152.156.44:2715/rtp/239.0.0.201:5140$四川联通
体育频道,#genre#
快乐垂钓,http://175.152.156.44:2715/rtp/239.0.0.40:5140$四川联通
先锋乒羽,http://175.152.156.44:2715rtp/239.0.0.37:5140$四川联通
数字频道,#genre#
乐游,http://175.152.156.44:2715/rtp/239.0.0.30:5140$四川联通
金鹰纪实,http://175.152.156.44:2715/rtp/239.0.0.69:5140$四川联通
法治天地,http://175.152.156.44:2715/rtp/239.0.0.33:5140$四川联通
书画频道,http://175.152.156.44:2715/rtp/239.0.0.31:5140$四川联通
少儿频道,#genre#
卡酷少儿,http://175.152.156.44:2715/rtp/239.0.0.75:5140$四川联通
金色学堂,http://175.152.156.44:2715/rtp/239.0.0.32:5140$四川联通
动漫秀场,http://175.152.156.44:2715/rtp/239.0.0.28:5140$四川联通
金鹰卡通,http://175.152.156.44:2715/rtp/239.0.0.95:5140$四川联通
