央视频道,#genre#
CCTV-兵器科技,http://60.30.67.45:8834/udp/225.1.2.166:5002$天津联通
CCTV-第一剧场,http://60.30.67.45:8834/udp/225.1.2.175:5002$天津联通
CCTV-电视指南,http://60.30.67.45:8834/udp/225.1.2.167:5002$天津联通
CCTV-风云剧场,http://60.30.67.45:8834/udp/225.1.2.174:5002$天津联通
CCTV-风云音乐,http://60.30.67.45:8834/udp/225.1.2.176:5002$天津联通
CCTV-风云足球,http://60.30.67.45:8834/udp/225.1.2.168:5002$天津联通
CCTV-高尔夫网球,http://60.30.67.45:8834/udp/225.1.2.169:5002$天津联通
CCTV-怀旧剧场,http://60.30.67.45:8834/udp/225.1.2.173:5002$天津联通
CCTV-女性时尚,http://60.30.67.45:8834/udp/225.1.2.172:5002$天津联通
CCTV-世界地理,http://60.30.67.45:8834/udp/225.1.2.171:5002$天津联通
CCTV-央视文化精品,http://60.30.67.45:8834/udp/225.1.2.177:5002$天津联通
CCTV-央视台球,http://60.30.67.45:8834/udp/225.1.2.170:5002$天津联通
CETV早期教育,http://60.30.67.45:8834/udp/225.1.2.207:5002$天津联通
CGTN,http://60.30.67.45:8834/udp/225.1.1.27:5002$天津联通
CGTN纪录,http://60.30.67.45:8834/udp/225.1.1.55:5002$天津联通
中学生,http://60.30.67.45:8834/udp/225.1.1.193:5002$天津联通
中国天气,http://60.30.67.45:8834/udp/225.1.2.119:5002$天津联通
卫视频道,#genre#
甘肃卫视,http://60.30.67.45:8834/udp/225.1.1.30:5002$天津联通
三沙卫视,http://60.30.67.45:8834/udp/225.1.2.181:5002$天津联通
内蒙古卫视,http://60.30.67.45:8834/udp/225.1.1.32:5002$天津联通
宁夏卫视,http://60.30.67.45:8834/udp/225.1.1.56:5002$天津联通
青海卫视,http://60.30.67.45:8834/udp/225.1.1.54:5002$天津联通
西藏卫视,http://60.30.67.45:8834/udp/225.1.1.51:5002$天津联通
新疆卫视,http://60.30.67.45:8834/udp/225.1.1.35:5002$天津联通
兵团卫视,http://60.30.67.45:8834/udp/225.1.1.57:5002$天津联通
数字频道,#genre#
CHC动作电影,http://60.30.67.45:8834/udp/225.1.1.215:5002$天津联通
CHC高清电影,http://60.30.67.45:8834/udp/225.1.1.214:5002$天津联通
CHC家庭影院,http://60.30.67.45:8834/udp/225.1.1.213:5002$天津联通
都市剧场,http://60.30.67.45:8834/udp/225.1.1.146:5002$天津联通
法制天地,http://60.30.67.45:8834/udp/225.1.1.237:5002$天津联通
金鹰纪实,http://60.30.67.45:8834/udp/225.1.1.124:5002$天津联通
乐游,http://60.30.67.45:8834/udp/225.1.1.145:5002$天津联通
生活时尚,http://60.30.67.45:8834/udp/225.1.1.143:5002$天津联通
少儿频道,#genre#
动漫秀场,http://60.30.67.45:8834/udp/225.1.1.134:5002$天津联通
哈哈炫动,http://60.30.67.45:8834/udp/225.1.1.62:5002$天津联通
金色学堂,http://60.30.67.45:8834/udp/225.1.1.236:5002$天津联通
金鹰卡通,http://60.30.67.45:8834/udp/225.1.2.236:5002$天津联通
卡酷少儿,http://60.30.67.45:8834/udp/225.1.1.58:5002$天津联通
新动漫,http://60.30.67.45:8834/udp/225.1.1.216:5002$天津联通
4K专区,#genre#
欢笑剧场4K,http://60.30.67.45:8834/udp/225.1.1.139:5002$天津联通
其它频道,#genre#
环球旅游,http://60.30.67.45:8834/udp/225.1.2.200:5002$天津联通
环球奇观,http://60.30.67.45:8834/udp/225.1.1.197:5002$天津联通
生态环境,http://60.30.67.45:8834/udp/225.1.2.201:5002$天津联通
书法,http://60.30.67.45:8834/udp/225.1.2.22:5002$天津联通
四海钓鱼,http://60.30.67.45:8834/udp/225.1.2.202:5002$天津联通
老故事,http://60.30.67.45:8834/udp/225.1.1.188:5002$天津联通
优优宝贝,http://60.30.67.45:8834/udp/225.1.2.203:5002$天津联通
体育频道,#genre#
快乐垂钓,http://60.30.67.45:8834/udp/225.1.1.92:5002$天津联通
游戏风云,http://60.30.67.45:8834/udp/225.1.1.135:5002$天津联通
