央视频道,#genre#
CCTV1,http://114.226.212.150:8787/rtp/239.49.8.129:6000$江苏电信
CCTV1,http://114.226.212.152:8787/rtp/239.49.8.129:6000$江苏电信
CCTV1,http://114.226.212.151:8787/rtp/239.49.8.129:6000$江苏电信
CCTV2,http://114.226.212.150:8787/rtp/239.49.8.130:6000$江苏电信
CCTV2,http://114.226.212.152:8787/rtp/239.49.8.130:6000$江苏电信
CCTV2,http://114.226.212.151:8787/rtp/239.49.8.130:6000$江苏电信
CCTV3,http://114.226.212.150:8787/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://114.226.212.152:8787/rtp/239.49.1.3:6000$江苏电信
CCTV3,http://114.226.212.151:8787/rtp/239.49.1.3:6000$江苏电信
CCTV4,http://114.226.212.150:8787/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://114.226.212.152:8787/rtp/239.49.8.131:6000$江苏电信
CCTV4,http://114.226.212.151:8787/rtp/239.49.8.131:6000$江苏电信
CCTV5,http://114.226.212.150:8787/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://114.226.212.152:8787/rtp/239.49.1.5:6000$江苏电信
CCTV5,http://114.226.212.151:8787/rtp/239.49.1.5:6000$江苏电信
CCTV5+,http://114.226.212.150:8787/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://114.226.212.152:8787/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://114.226.212.151:8787/rtp/239.49.8.18:9610$江苏电信
CCTV6,http://114.226.212.150:8787/rtp/239.49.1.6:6000$江苏电信
CCTV6,http://114.226.212.152:8787/rtp/239.49.1.6:6000$江苏电信
CCTV6,http://114.226.212.151:8787/rtp/239.49.1.6:6000$江苏电信
CCTV7,http://114.226.212.150:8787/rtp/239.49.1.254:6000$江苏电信
CCTV7,http://114.226.212.152:8787/rtp/239.49.1.254:6000$江苏电信
CCTV7,http://114.226.212.151:8787/rtp/239.49.1.254:6000$江苏电信
CCTV8,http://114.226.212.150:8787/rtp/239.49.1.8:6000$江苏电信
CCTV8,http://114.226.212.152:8787/rtp/239.49.1.8:6000$江苏电信
CCTV8,http://114.226.212.151:8787/rtp/239.49.1.8:6000$江苏电信
CCTV9,http://114.226.212.150:8787/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://114.226.212.152:8787/rtp/239.49.8.53:9814$江苏电信
CCTV9,http://114.226.212.151:8787/rtp/239.49.8.53:9814$江苏电信
CCTV10,http://114.226.212.150:8787/rtp/239.49.8.134:6000$江苏电信
CCTV10,http://114.226.212.152:8787/rtp/239.49.8.134:6000$江苏电信
CCTV10,http://114.226.212.151:8787/rtp/239.49.8.134:6000$江苏电信
CCTV11,http://114.226.212.150:8787/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://114.226.212.152:8787/rtp/239.49.1.11:6000$江苏电信
CCTV11,http://114.226.212.151:8787/rtp/239.49.1.11:6000$江苏电信
CCTV12,http://114.226.212.150:8787/rtp/239.49.8.135:6000$江苏电信
CCTV12,http://114.226.212.152:8787/rtp/239.49.8.135:6000$江苏电信
CCTV12,http://114.226.212.151:8787/rtp/239.49.8.135:6000$江苏电信
CCTV13,http://114.226.212.150:8787/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://114.226.212.152:8787/rtp/239.49.1.13:6000$江苏电信
CCTV13,http://114.226.212.151:8787/rtp/239.49.1.13:6000$江苏电信
CCTV14,http://114.226.212.150:8787/rtp/239.49.8.136:6000$江苏电信
CCTV14,http://114.226.212.152:8787/rtp/239.49.8.136:6000$江苏电信
CCTV14,http://114.226.212.151:8787/rtp/239.49.8.136:6000$江苏电信
CCTV15,http://114.226.212.150:8787/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://114.226.212.152:8787/rtp/239.49.1.15:6000$江苏电信
CCTV15,http://114.226.212.151:8787/rtp/239.49.1.15:6000$江苏电信
CCTV17,http://114.226.212.150:8787/rtp/239.49.8.132:6000$江苏电信
CCTV17,http://114.226.212.152:8787/rtp/239.49.8.132:6000$江苏电信
CCTV17,http://114.226.212.151:8787/rtp/239.49.8.132:6000$江苏电信
其它频道,#genre#
GCTN英语,http://114.226.212.150:8787/rtp/239.49.0.9:8064$江苏电信
GCTN英语,http://114.226.212.152:8787/rtp/239.49.0.9:8064$江苏电信
GCTN英语,http://114.226.212.151:8787/rtp/239.49.0.9:8064$江苏电信
卫视频道,#genre#
浙江卫视,http://114.226.212.150:8787/rtp/239.49.8.139:6000$江苏电信
浙江卫视,http://114.226.212.152:8787/rtp/239.49.8.139:6000$江苏电信
浙江卫视,http://114.226.212.151:8787/rtp/239.49.8.139:6000$江苏电信
东方卫视,http://114.226.212.150:8787/rtp/239.49.8.140:6000$江苏电信
东方卫视,http://114.226.212.152:8787/rtp/239.49.8.140:6000$江苏电信
东方卫视,http://114.226.212.151:8787/rtp/239.49.8.140:6000$江苏电信
北京卫视,http://114.226.212.150:8787/rtp/239.49.8.141:6000$江苏电信
北京卫视,http://114.226.212.152:8787/rtp/239.49.8.141:6000$江苏电信
北京卫视,http://114.226.212.151:8787/rtp/239.49.8.141:6000$江苏电信
湖南卫视,http://114.226.212.150:8787/rtp/239.49.8.142:6000$江苏电信
湖南卫视,http://114.226.212.152:8787/rtp/239.49.8.142:6000$江苏电信
湖南卫视,http://114.226.212.151:8787/rtp/239.49.8.142:6000$江苏电信
广东卫视,http://114.226.212.150:8787/rtp/239.49.8.143:6000$江苏电信
广东卫视,http://114.226.212.152:8787/rtp/239.49.8.143:6000$江苏电信
广东卫视,http://114.226.212.151:8787/rtp/239.49.8.143:6000$江苏电信
