央视频道,#genre#
CCTV-16 奥林匹克,http://120.6.7.29:/CCTV-奥林匹克4K?cors$河北联通
CCTV-4 欧洲,http://120.6.7.29:/CCTV4中文国际欧洲?cors$河北联通
CCTV-4 美洲,http://120.6.7.29:/CCTV4中文国际美洲?cors$河北联通
CCTV-兵器科技,http://120.6.7.29:/兵器科技高清?cors$河北联通
CCTV-风云音乐,http://120.6.7.29:/风云音乐高清?cors$河北联通
CCTV-第一剧场,http://120.6.7.29:/第一剧场高清?cors$河北联通
CCTV-风云足球,http://120.6.7.29:/风云足球高清?cors$河北联通
CCTV-风云剧场,http://120.6.7.29:/风云剧场高清?cors$河北联通
CCTV-电视指南,http://120.6.7.29:/电视指南高清?cors$河北联通
CCTV-女性时尚,http://120.6.7.29:/女性时尚高清?cors$河北联通
CCTV-世界地理,http://120.6.7.29:/世界地理高清?cors$河北联通
CCTV-央视台球,http://120.6.7.29:/央视台球高清?cors$河北联通
CCTV-高尔夫网球,http://120.6.7.29:/高尔夫网球高清?cors$河北联通
CCTV-央视文化精品,http://120.6.7.29:/文化精品高清?cors$河北联通
中央新影-老故事,http://120.6.7.29:/老故事?cors$河北联通
中央新影-中学生,http://120.6.7.29:/中学生?cors$河北联通
CETV1,http://120.6.7.29:/中国教育-1高清?cors$河北联通
CETV2,http://120.6.7.29:/CETV-2?cors$河北联通
CETV早期教育,http://120.6.7.29:/早期教育高清?cors$河北联通
CGTN纪录,http://120.6.7.29:/CGTN?cors$河北联通
CGTN英语,http://120.6.7.29:/CGTN 英文记录?cors$河北联通
CGTN俄语,http://120.6.7.29:/CGTN 俄语?cors$河北联通
中国交通,http://120.6.7.29:/中国交通频道?cors$河北联通
4K专区,#genre#
欢笑剧场4K,http://120.6.7.29:/欢笑剧场4K?cors$河北联通
体育频道,#genre#
快乐垂钓,http://120.6.7.29:/快乐垂钓高清?cors$河北联通
先锋乒羽,http://120.6.7.29:/先锋乒羽?cors$河北联通
天元围棋,http://120.6.7.29:/天元围棋?cors$河北联通
车迷频道,http://120.6.7.29:/车迷?cors$河北联通
游戏风云,http://120.6.7.29:/游戏风云高清?cors$河北联通
网络棋牌,http://120.6.7.29:/网络棋牌?cors$河北联通
数字频道,#genre#
环球奇观,http://120.6.7.29:/环球奇观?cors$河北联通
求索纪录,http://120.6.7.29:/求索纪录高清?cors$河北联通
EETV生态环境,http://120.6.7.29:/生态环境?cors$河北联通
都市剧场,http://120.6.7.29:/都市剧场高清?cors$河北联通
金鹰纪实,http://120.6.7.29:/金鹰纪实高清?cors$河北联通
法治天地,http://120.6.7.29:/法治天地高清?cors$河北联通
少儿频道,#genre#
金色学堂,http://120.6.7.29:/金色学堂高清?cors$河北联通
动漫秀场,http://120.6.7.29:/动漫秀场高清?cors$河北联通
优漫卡通,http://120.6.7.29:/优漫卡通?cors$河北联通
金鹰卡通,http://120.6.7.29:/金鹰卡通?cors$河北联通
其它频道,#genre#
优优宝贝,http://120.6.7.29:/优优宝贝?cors$河北联通
