央视频道,#genre#
CETV1,http://42.239.113.92:8800/rtp/225.1.4.173:1712$河南联通
CETV2,http://42.239.113.92:8800/rtp/225.1.4.165:1206$河南联通
CETV4,http://42.239.113.92:8800/rtp/225.1.4.171:1710$河南联通
CGTN纪录,http://42.239.113.92:8800/rtp/225.1.4.16:1045$河南联通
卫视频道,#genre#
甘肃卫视,http://42.239.113.92:8800/rtp/225.1.4.42:1071$河南联通
新疆卫视,http://42.239.113.92:8800/rtp/225.1.4.47:1076$河南联通
西藏卫视,http://42.239.113.92:8800/rtp/225.1.4.46:1075$河南联通
内蒙古卫视,http://42.239.113.92:8800/rtp/225.1.4.45:1074$河南联通
宁夏卫视,http://42.239.113.92:8800/rtp/225.1.4.43:1072$河南联通
青海卫视,http://42.239.113.92:8800/rtp/225.1.4.44:1073$河南联通
兵团卫视,http://42.239.113.92:8800/rtp/225.1.4.97:1126$河南联通
三沙卫视,http://42.239.113.92:8800/rtp/225.1.4.234:1280$河南联通
厦门卫视,http://42.239.113.92:8800/rtp/225.1.4.95:1124$河南联通
河南卫视4K,http://42.239.113.92:8800rtp/rtp/225.1.4.254:1300$河南联通
4K专区,#genre#
爱上4K,http://42.239.113.92:8800rtp/225.1.4.162:1204$河南联通
体育频道,#genre#
网络棋牌,http://42.239.113.92:8800/rtp/225.1.4.211:1264$河南联通
先锋乒羽,http://42.239.113.92:8800/rtp/225.1.4.210:1263$河南联通
数字频道,#genre#
CHC动作电影,http://42.239.113.92:8800/rtp/225.1.4.208:1261$河南联通
CHC家庭影院,http://42.239.113.92:8800/rtp/225.1.4.209:1262$河南联通
CHC影迷电影,http://42.239.113.92:8800/rtp/225.1.4.207:1260$河南联通
金鹰纪实,http://42.239.113.92:8800/rtp/225.1.4.172:1711$河南联通
其它频道,#genre#
国学,http://42.239.113.92:8800/rtp/225.1.4.196:1311$河南联通
少儿频道,#genre#
卡酷少儿,http://42.239.113.92:8800/rtp/225.1.4.48:1077$河南联通
动漫秀场,http://42.239.113.92:8800/rtp/225.1.4.212:1265$河南联通
金鹰卡通,http://42.239.113.92:8800/rtp/225.1.4.49:1078$河南联通
嘉佳卡通,http://42.239.113.92:8800/rtp/225.1.4.92:1121$河南联通
