其它频道,#genre#
CCTV16 4K,http://123.157.31.182:7912/rtp/233.50.201.63:5140$浙江联通
茶频道,http://123.157.31.182:7912/rtp/233.50.201.188:5140$浙江联通
环球旅游,http://123.157.31.182:7912/rtp/233.50.202.31:5140$浙江联通
生态环境,http://123.157.31.182:7912/rtp/233.50.202.103:5140$浙江联通
北京纪实科教,http://123.157.31.182:7912/rtp/233.50.202.34:5140$浙江联通
浙江教育,http://123.157.31.182:7912/rtp/233.50.201.134:5140$浙江联通
百事通直播,http://123.157.31.182:7912/rtp/233.50.201.204:5140$浙江联通
卫视频道,#genre#
北京卫视4K,http://123.157.31.182:7912/rtp/233.50.201.226:5140$浙江联通
东方卫视4K,http://123.157.31.182:7912/rtp/233.50.202.105:5140$浙江联通
广东卫视4K,http://123.157.31.182:7912/rtp/233.50.202.101:5140$浙江联通
深圳卫视4K,http://123.157.31.182:7912/rtp/233.50.202.102:5140$浙江联通
湖南卫视4K,http://123.157.31.182:7912/rtp/233.50.202.106:5140$浙江联通
山东卫视4K,http://123.157.31.182:7912/rtp/233.50.202.108:5140$浙江联通
四川卫视4K,http://123.157.31.182:7912/rtp/233.50.202.109:5140$浙江联通
浙江卫视4K,http://123.157.31.182:7912/rtp/233.50.202.104:5140$浙江联通
江苏卫视4K,http://123.157.31.182:7912/rtp/233.50.202.107:5140$浙江联通
重庆卫视,http://123.157.31.182:7912/rtp/233.50.201.143:5140$浙江联通
江苏卫视,http://123.157.31.182:7912/rtp/233.50.201.106:5140$浙江联通
浙江卫视,http://123.157.31.182:7912/rtp/233.50.201.100:5140$浙江联通
东方卫视,http://123.157.31.182:7912/rtp/233.50.201.125:5140$浙江联通
深圳卫视,http://123.157.31.182:7912/rtp/233.50.201.101:5140$浙江联通
北京卫视,http://123.157.31.182:7912/rtp/233.50.201.107:5140$浙江联通
山东卫视,http://123.157.31.182:7912/rtp/233.50.201.105:5140$浙江联通
天津卫视,http://123.157.31.182:7912/rtp/233.50.201.104:5140$浙江联通
贵州卫视,http://123.157.31.182:7912/rtp/233.50.201.142:5140$浙江联通
四川卫视,http://123.157.31.182:7912/rtp/233.50.201.139:5140$浙江联通
黑龙江卫视,http://123.157.31.182:7912/rtp/233.50.201.115:5140$浙江联通
安徽卫视,http://123.157.31.182:7912/rtp/233.50.201.113:5140$浙江联通
江西卫视,http://123.157.31.182:7912/rtp/233.50.201.145:5140$浙江联通
湖北卫视,http://123.157.31.182:7912/rtp/233.50.201.114:5140$浙江联通
东南卫视,http://123.157.31.182:7912/rtp/233.50.201.146:5140$浙江联通
辽宁卫视,http://123.157.31.182:7912/rtp/233.50.201.141:5140$浙江联通
湖南卫视,http://123.157.31.182:7912/rtp/233.50.201.103:5140$浙江联通
广东卫视,http://123.157.31.182:7912/rtp/233.50.201.102:5140$浙江联通
河南卫视,http://123.157.31.182:7912/rtp/233.50.201.144:5140$浙江联通
河北卫视,http://123.157.31.182:7912/rtp/233.50.201.140:5140$浙江联通
宁夏卫视,http://123.157.31.182:7912/rtp/233.50.202.45:5140$浙江联通
新疆卫视,http://123.157.31.182:7912/rtp/233.50.202.46:5140$浙江联通
西藏卫视,http://123.157.31.182:7912/rtp/233.50.202.43:5140$浙江联通
兵团卫视,http://123.157.31.182:7912/rtp/233.50.202.44:5140$浙江联通
央视频道,#genre#
CCTV1,http://123.157.31.182:7912/rtp/233.50.201.118:5140$浙江联通
