央视频道,#genre#
CCTV4K,http://www.alihomes.top:8188/rtp/239.254.96.56:7432$海南联通
CCTV1,http://www.alihomes.top:8188/rtp/239.254.96.82:7640$海南联通
CCTV2,http://www.alihomes.top:8188/rtp/239.254.96.124:7084$海南联通
CCTV3,http://www.alihomes.top:8188/rtp/239.254.96.67:7520$海南联通
CCTV4,http://www.alihomes.top:8188/rtp/239.254.96.180:7092$海南联通
CCTV5,http://www.alihomes.top:8188/rtp/239.254.96.66:7512$海南联通
CCTV5+,http://www.alihomes.top:8188/rtp/239.254.96.83:7004$海南联通
CCTV6,http://www.alihomes.top:8188/rtp/239.254.96.63:7488$海南联通
CCTV7,http://www.alihomes.top:8188/rtp/239.254.96.125:7104$海南联通
CCTV8,http://www.alihomes.top:8188/rtp/239.254.96.62:7480$海南联通
CCTV9,http://www.alihomes.top:8188/rtp/239.254.96.126:7112$海南联通
CCTV10,http://www.alihomes.top:8188/rtp/239.254.96.127:7116$海南联通
CCTV11,http://www.alihomes.top:8188/rtp/239.254.96.187:8166$海南联通
CCTV12,http://www.alihomes.top:8188/rtp/239.254.96.128:7124$海南联通
CCTV13,http://www.alihomes.top:8188/rtp/239.254.96.200:8205$海南联通
CCTV14,http://www.alihomes.top:8188/rtp/239.254.96.129:7132$海南联通
CCTV15,http://www.alihomes.top:8188/rtp/239.254.96.188:8170$海南联通
CCTV17,http://www.alihomes.top:8188/rtp/239.254.96.57:8204$海南联通
CETV1,http://www.alihomes.top:8188/rtp/239.254.96.155:7152$海南联通
CGTN纪录,http://www.alihomes.top:8188/rtp/239.254.96.58:7448$海南联通
其它频道,#genre#
CCTV16 4K,http://www.alihomes.top:8188/rtp/239.254.96.170:8206$海南联通
爱上4K,http://www.alihomes.top:8188/rtp/239.254.96.193:8182$海南联通
国学,http://www.alihomes.top:8188/rtp/239.254.96.141:8094$海南联通
古装剧场,http://www.alihomes.top:8188/rtp/239.254.96.137:8078$海南联通
军旅剧场,http://www.alihomes.top:8188/rtp/239.254.96.74:7576$海南联通
爱体育,http://www.alihomes.top:8188/rtp/239.254.96.101:7792$海南联通
收视指南,http://www.alihomes.top:8188/rtp/239.254.96.17:7120$海南联通
城市剧场,http://www.alihomes.top:8188/rtp/239.254.96.150:8114$海南联通
音乐现场,http://www.alihomes.top:8188/rtp/239.254.96.138:8082$海南联通
地理,http://www.alihomes.top:8188/rtp/239.254.96.139:8086$海南联通
美人,http://www.alihomes.top:8188/rtp/239.254.96.96:8718$海南联通
解密,http://www.alihomes.top:8188/rtp/239.254.96.100:8066$海南联通
军事,http://www.alihomes.top:8188/rtp/239.254.96.140:8090$海南联通
动画,http://www.alihomes.top:8188/rtp/239.254.96.93:8708$海南联通
好学生,http://www.alihomes.top:8188/rtp/239.254.96.144:7994$海南联通
爱生活,http://www.alihomes.top:8188/rtp/239.254.96.145:7996$海南联通
IPTV电影,http://www.alihomes.top:8188/rtp/239.254.96.149:8110$海南联通
IPTV电视剧,http://www.alihomes.top:8188/rtp/239.254.96.76:7592$海南联通
爱大剧,http://www.alihomes.top:8188/rtp/239.254.96.8:7048$海南联通
爱电影,http://www.alihomes.top:8188/rtp/239.254.96.6:7016$海南联通
爱综艺,http://www.alihomes.top:8188/rtp/239.254.96.3:7004$海南联通
卫视频道,#genre#
北京卫视4K,http://www.alihomes.top:8188/rtp/239.254.96.158:8220$海南联通
广东卫视4K,http://www.alihomes.top:8188/rtp/239.254.96.159:8220$海南联通
深圳卫视4K,http://www.alihomes.top:8188/rtp/239.254.96.160:8220$海南联通
重庆卫视,http://www.alihomes.top:8188/rtp/239.254.96.60:7464$海南联通
江苏卫视,http://www.alihomes.top:8188/rtp/239.254.96.88:7688$海南联通
浙江卫视,http://www.alihomes.top:8188/rtp/239.254.96.89:7696$海南联通
东方卫视,http://www.alihomes.top:8188/rtp/239.254.96.90:7704$海南联通
深圳卫视,http://www.alihomes.top:8188/rtp/239.254.96.87:7020$海南联通
北京卫视,http://www.alihomes.top:8188/rtp/239.254.96.84:7656$海南联通
山东卫视,http://www.alihomes.top:8188/rtp/239.254.96.131:7052$海南联通
天津卫视,http://www.alihomes.top:8188/rtp/239.254.96.183:7364$海南联通
贵州卫视,http://www.alihomes.top:8188/rtp/239.254.96.182:7076$海南联通
黑龙江卫视,http://www.alihomes.top:8188/rtp/239.254.96.86:7672$海南联通
安徽卫视,http://www.alihomes.top:8188/rtp/239.254.96.133:7064$海南联通
江西卫视,http://www.alihomes.top:8188/rtp/239.254.96.61:7472$海南联通
湖北卫视,http://www.alihomes.top:8188/rtp/239.254.96.91:7712$海南联通
旅游卫视,http://www.alihomes.top:8188/rtp/239.254.96.179:7154$海南联通
东南卫视,http://www.alihomes.top:8188/rtp/239.254.96.189:8172$海南联通
吉林卫视,http://www.alihomes.top:8188/rtp/239.254.96.65:7504$海南联通
辽宁卫视,http://www.alihomes.top:8188/rtp/239.254.96.132:7056$海南联通
湖南卫视,http://www.alihomes.top:8188/rtp/239.254.96.85:7664$海南联通
广东卫视,http://www.alihomes.top:8188/rtp/239.254.96.130:7048$海南联通
河南卫视,http://www.alihomes.top:8188/rtp/239.254.96.178:8220$海南联通
河北卫视,http://www.alihomes.top:8188/rtp/239.254.96.181:7072$海南联通
宁夏卫视,http://www.alihomes.top:8188/rtp/239.254.96.171:8220$海南联通
甘肃卫视,http://www.alihomes.top:8188/rtp/239.254.96.177:8220$海南联通
新疆卫视,http://www.alihomes.top:8188/rtp/239.254.96.162:8220$海南联通
西藏卫视,http://www.alihomes.top:8188/rtp/239.254.96.163:8220$海南联通
兵团卫视,http://www.alihomes.top:8188/rtp/239.254.96.161:8220$海南联通
三沙卫视,http://www.alihomes.top:8188/rtp/239.254.96.184:7158$海南联通
数字频道,#genre#
金鹰纪实,http://www.alihomes.top:8188/rtp/239.254.96.154:7156$海南联通
IPTV谍战剧场,http://www.alihomes.top:8188/rtp/239.254.96.77:7600$海南联通
