4K专区,#genre#
北京卫视4K,http://58.17.134.3:8005/udp/225.0.4.122:7980$重庆联通
北京卫视4K,http://home.660888.xyz:4000/udp/225.0.4.122:7980$重庆联通
东方卫视4K,http://58.17.134.3:8005/udp/225.0.4.103:7980$重庆联通
东方卫视4K,http://home.660888.xyz:4000/udp/225.0.4.103:7980$重庆联通
广东卫视4K,http://58.17.134.3:8005/udp/225.0.4.102:7980$重庆联通
广东卫视4K,http://home.660888.xyz:4000/udp/225.0.4.102:7980$重庆联通
深圳卫视4K,http://58.17.134.3:8005/udp/225.0.4.101:7980$重庆联通
深圳卫视4K,http://home.660888.xyz:4000/udp/225.0.4.101:7980$重庆联通
湖南卫视4K,http://58.17.134.3:8005/udp/225.0.4.107:7980$重庆联通
湖南卫视4K,http://home.660888.xyz:4000/udp/225.0.4.107:7980$重庆联通
山东卫视4K,http://58.17.134.3:8005/udp/225.0.4.106:7980$重庆联通
山东卫视4K,http://home.660888.xyz:4000/udp/225.0.4.106:7980$重庆联通
四川卫视4K,http://58.17.134.3:8005/udp/225.0.4.108:7980$重庆联通
四川卫视4K,http://home.660888.xyz:4000/udp/225.0.4.108:7980$重庆联通
浙江卫视4K,http://58.17.134.3:8005/udp/225.0.4.105:7980$重庆联通
浙江卫视4K,http://home.660888.xyz:4000/udp/225.0.4.105:7980$重庆联通
江苏卫视4K,http://58.17.134.3:8005/udp/225.0.4.104:7980$重庆联通
江苏卫视4K,http://home.660888.xyz:4000/udp/225.0.4.104:7980$重庆联通
欢笑剧场,http://58.17.134.3:8005/udp/225.0.4.234:7980$重庆联通
欢笑剧场,http://home.660888.xyz:4000/udp/225.0.4.234:7980$重庆联通
其它频道,#genre#
爱上4K,http://58.17.134.3:8005/udp/225.0.4.226:7980$重庆联通
爱上4K,http://home.660888.xyz:4000/udp/225.0.4.226:7980$重庆联通
优优宝贝,http://58.17.134.3:8005/udp/225.0.4.126:7980$重庆联通
优优宝贝,http://home.660888.xyz:4000/udp/225.0.4.126:7980$重庆联通
山东教育卫视,http://58.17.134.3:8005/udp/225.0.4.183:7980$重庆联通
山东教育卫视,http://home.660888.xyz:4000/udp/225.0.4.183:7980$重庆联通
