央视频道,#genre#
CCTV-4K 超高清,http://ipipip/央视/CCTV-4K?cors
CCTV-兵器科技,http://ipipip/央视/兵器科技HD?cors
CCTV-风云音乐,http://ipipip/央视/风云音乐HD?cors
CCTV-第一剧场,http://ipipip/央视/第一剧场HD?cors
CCTV-风云足球,http://ipipip/央视/风云足球HD?cors
CCTV-风云剧场,http://ipipip/央视/风云剧场HD?cors
CCTV-怀旧剧场,http://ipipip/央视/怀旧剧场HD?cors
CCTV-女性时尚,http://ipipip/央视/女性时尚HD?cors
CCTV-世界地理,http://ipipip/央视/世界地理HD?cors
CCTV-央视台球,http://ipipip/央视/央视台球HD?cors
CCTV-高尔夫网球,http://ipipip/央视/高尔夫网球HD?cors
CCTV-央视文化精品,http://ipipip/央视/央视文化精品HD?cors
CETV1,http://ipipip/央视/中国教育-1HD?cors
CETV2,http://ipipip/央视/中国教育-2?cors
CETV4,http://ipipip/央视/中国教育-4HD?cors
CETV,http://ipipip/早期教育央视/早期教育HD?cors
CGTN纪录,http://ipipip/央视/CGTN?cors

卫视频道,#genre#
甘肃卫视,http://ipipip/卫视/甘肃卫视HD?cors
新疆卫视,http://ipipip/卫视/新疆卫视HD?cors
西藏卫视,http://ipipip/卫视/西藏卫视HD?cors
内蒙古卫视,http://ipipip/卫视/内蒙古卫视HD?cors
宁夏卫视,http://ipipip/卫视/宁夏卫视HD?cors
青海卫视,http://ipipip/卫视/青海卫视HD?cors
兵团卫视,http://ipipip/卫视/兵团卫视HD?cors
三沙卫视,http://ipipip/卫视/三沙卫视HD?cors
延边卫视,http://ipipip/卫视/延边卫视?cors

4K专区,#genre#
欢笑剧场4K,http://ipipip/多彩文体HD?cors

体育频道,#genre#
五星体育,http://ipipip/地方/五星体育HD?cors
快乐垂钓,http://ipipip/地方/快乐垂钓HD?cors
游戏风云,http://ipipip/地方/游戏风云HD?cors

数字频道,#genre#
CHC动作电影,http://ipipip//CHC/CHC动作电影HD?cors
CHC家庭影院,http://ipipip/CHC/CHC家庭影院HD?cors
CHC影迷电影,http://ipipip/CHC/CHC影迷电影HD?cors
乐游,http://ipipip/地方/乐游HD?cors

乐游地方/乐游HD?cors
生活时尚,http://ipipip/地方/生活时尚HD?cors
都市剧场,http://ipipip/地方/都市剧场HD?cors
金鹰纪实,http://ipipip/地方/金鹰纪实HD?cors
法治天地,http://ipipip/地方/法治天地HD?cors
东方影视,http://ipipip/地方/东方影视HD?cors

少儿频道,#genre#
卡酷少儿,http://ipipip/卡通/卡酷少儿HD?cors
金色学堂,http://ipipip/地方/金色学堂HD?cors
动漫秀场,http://ipipip/地方/动漫秀场HD?cors
哈哈炫动,http://ipipip/地方/哈哈炫动HD?cors
金鹰卡通,http://ipipip/卡通/金鹰卡通HD?cors
