央视频道,#genre#
CCTV-兵器科技,http://ipipip/数字频道/兵器科技?cors
CCTV-风云音乐,http://ipipip/数字频道/风云音乐HD?cors
CCTV-第一剧场,http://ipipip/数字频道/第一剧场HD?cors
CCTV-风云足球,http://ipipip/数字频道/风云足球HD?cors
CCTV-风云剧场,http://ipipip/数字频道/风云剧场HD?cors
CCTV-怀旧剧场,http://ipipip/数字频道/怀旧剧场HD?cors
CCTV-女性时尚,http://ipipip/数字频道/女性时尚HD?cors
CCTV-世界地理,http://ipipip/数字频道/世界地理HD?cors
CCTV-央视台球,http://ipipip/数字频道/央视台球HD?cors
CCTV-高尔夫网球,http://ipipip/数字频道/高尔夫网球HD?cors
CCTV-央视文化精品,http://ipipip/数字频道/央视文化精品HD?cors
CETV1,http://ipipip//CCTV/CETV1?cors
CETV2,http://ipipip/CCTV/CETV2?cors
CETV4,http://ipipip/CCTV/CETV4?cors
CETV早期教育,http://ipipip/CCTV/CETV早期教育?cors
CGTN纪录,http://ipipip/CCTV/CGTN?cors

卫视频道,#genre#
甘肃卫视,http://ipipip/卫视频道/甘肃卫视?cors
新疆卫视,http://ipipip/卫视频道/新疆卫视?cors
西藏卫视,http://ipipip/卫视频道/西藏卫视?cors
内蒙古卫视,http://ipipip/卫视频道/内蒙古卫视?cors
宁夏卫视,http://ipipip/卫视频道/宁夏卫视?cors
青海卫视,http://ipipip/卫视频道/青海卫视?cors
兵团卫视,http://ipipip/卫视频道/兵团卫视?cors
三沙卫视,http://ipipip/卫视频道/三沙卫视?cors
延边卫视,http://ipipip/卫视频道/延边卫视?cors

4K专区,#genre#
CCTV-16 奥林匹克,http://ipipip/4K频道/CCTV16「4K」?cors
CCTV-4K 超高清,http://ipipip/4K频道/CCTV4K「4K」?cors
北京卫视4K,http://ipipip/4K频道/北京卫视「4K」?cors
东方卫视4K,http://ipipip/4K频道/东方卫视「4K」?cors
广东卫视4K,http://ipipip/4K频道/广东卫视「4K」?cors
深圳卫视4K,http://ipipip/4K频道/深圳卫视「4K」?cors
浙江卫视4K,http://ipipip/4K频道/浙江卫视「4K」?cors
江苏卫视4K,http://ipipip/4K频道/江苏卫视「4K」?cors
湖南卫视4K,http://ipipip/4K频道/湖南卫视「4K」?cors
山东卫视4K,http://ipipip/4K频道/山东卫视「4K」?cors
四川卫视4K,http://ipipip/4K频道/四川卫视「4K」?cors
欢笑剧场4K,http://ipipip/4K频道/欢笑剧场「4K」?cors

体育频道,#genre#
五星体育,http://ipipip/上海文广/五星体育?cors
快乐垂钓,http://ipipip/数字频道/快乐垂钓?cors
游戏风云,http://ipipip/数字频道/游戏风云?cors

数字频道,#genre#
CHC动作电影,http://ipipip/数字频道/CHC动作电影?cors
CHC家庭影院,http://ipipip/数字频道/CHC家庭影院?cors
CHC影迷电影,http://ipipip/数字频道/CHC影迷电影?cors
乐游,http://ipipip/数字频道/乐游?cors
都市剧场,http://ipipip/上海文广/都市剧场?cors
金鹰纪实,http://ipipip/数字频道/金鹰纪实?cors
法治天地,http://ipipip/数字频道/法治天地?cors
东方影视,http://ipipip/上海文广/东方影视?cors

少儿频道,#genre#
卡酷少儿,http://ipipip/少儿频道/卡酷少儿?cors
金色学堂,http://ipipip/少儿频道/金色学堂?cors
动漫秀场,http://ipipip/少儿频道/动漫秀场?cors
哈哈炫动,http://ipipip/少儿频道/哈哈炫动?cors
金鹰卡通,http://ipipip/少儿频道/金鹰卡通?cors
嘉佳卡通,http://ipipip/少儿频道/嘉佳卡通?cors
