央视频道,#genre#
CCTV-16 奥林匹克,http://ipipip/rtp/239.3.1.183:8001
CCTV-4 欧洲,http://ipipip/rtp/239.3.1.213:4220
CCTV-4 美洲,http://ipipip/rtp/239.3.1.214:4220
CETV1,http://ipipip/rtp/239.3.1.57:8152
CETV2,http://ipipip/rtp/239.3.1.54:4120
CETV,http://ipipip/rtp/3239.3.1.55:4120
CETV,http://ipipip/rtp/4239.3.1.56:4120
CGTN纪录,http://ipipip/rtp/239.3.1.216:4220
CGTN新闻,http://ipipip/rtp/239.3.1.215:4220
CGTN俄语,http://ipipip/rtp/239.3.1.220:4220
中国交通,http://ipipip/rtp/239.3.1.188:8001


卫视频道,#genre#
兵团卫视,http://ipipip/rtp/239.3.1.144:4120
三沙卫视,http://ipipip/rtp/239.3.1.155:4120
厦门卫视,http://ipipip/rtp/239.3.1.143:4120

4K专区,#genre#
北京卫视4K,http://ipipip/rtp/239.3.1.139:8001
东方卫视4K,http://ipipip/rtp/239.3.1.119:3006
广东卫视4K,http://ipipip/rtp/239.3.1.203:2000
深圳卫视4K,http://ipipip/rtp/239.3.1.202:2000
浙江卫视4K,http://ipipip/rtp/239.3.1.114:3004
江苏卫视4K,http://ipipip/rtp/239.3.1.113:3003
湖南卫视4K,http://ipipip/rtp/239.3.1.112:3002
山东卫视4K,http://ipipip/rtp/239.3.1.144:3005
四川卫视4K,http://ipipip/rtp/239.3.1.131:3001
爱上4K,http://ipipip/rtp/239.3.1.236:2000
淘4K,http://ipipip/rtp/239.3.1.249:8001

体育频道,#genre#
睛彩青少,http://ipipip/rtp/239.3.1.127:8001
睛彩竞技,http://ipipip/rtp/239.3.1.125:8001
睛彩篮球,http://ipipip/rtp/239.3.1.126:8001
睛彩广场舞,http://ipipip/rtp/239.3.1.128:8001
快乐垂钓,http://ipipip/rtp/239.3.1.164:8001
北京体育休闲,http://ipipip/rtp/239.3.1.243:8000

数字频道,#genre#
淘电影,http://ipipip/rtp/239.3.1.250:8001
淘精彩,http://ipipip/rtp/239.3.1.178:8001
淘剧场,http://ipipip/rtp/239.3.1.95:8001
淘娱乐,http://ipipip/rtp/239.3.1.100:8001
IPTV经典电影,http://ipipip/rtp/239.3.1.195:9024
IPTV喜剧影院,http://ipipip/rtp/239.3.1.91:4120
华数动作影院,http://ipipip/rtp/239.3.1.92:4120
IPTV武侠剧场,http://ipipip/rtp/239.3.1.90:4120
华数精选,http://ipipip/rtp/239.3.1.74:4120
华数星影,http://ipipip/rtp/239.3.1.94:4120
华数光影,http://ipipip/rtp/239.3.1.84:4120
金鹰纪实,http://ipipip/rtp/239.3.1.58:8156

少儿频道,#genre#
淘BABY,http://ipipip/rtp/239.3.1.238:8001
淘萌宠,http://ipipip/rtp/239.3.1.102:800
卡酷少儿,http://ipipip/rtp/239.3.1.189:8000
嘉佳卡通,http://ipipip/rtp/239.3.1.147:9268   
金鹰卡通,http://ipipip/rtp/239.3.1.51:9252


