央视频道,#genre#
CETV2,http://ipipip/rtp/239.0.0.196:5140
CETV4,http://ipipip/rtp/239.0.0.98:5140
中央新影-老故事,http://ipipip/rtp/239.0.0.27:5140
中央新影-中学生,http://ipipip/rtp/239.0.0.29:5140
中国交通,http://ipipip/rtp/239.0.0.143:5140

卫视频道,#genre#
甘肃卫视,http://ipipip/rtp/239.0.0.192:5140
新疆卫视,http://ipipip/rtp/239.0.0.38:5140
西藏卫视,http://ipipip/rtp/239.0.0.39:5140
内蒙古卫视,http://ipipip/rtp/239.0.0.79:5140
宁夏卫视,http://ipipip/rtp/239.0.0.35:5140
青海卫视,http://ipipip/rtp/239.0.0.108:5140
兵团卫视,http://ipipip/rtp/239.0.0.41:5140
三沙卫视,http://ipipip/rtp/239.0.0.195:5140
康巴卫视,http://ipipip/rtp/239.0.0.175:5140
厦门卫视,http://ipipip/rtp/239.0.0.194:5140
安多卫视,http://ipipip/rtp/239.0.0.109:5140
延边卫视,http://ipipip/rtp/239.0.0.76:5140

4K专区,#genre#
CCTV-4K 超高清,http://ipipip/rtp/239.0.0.184:5140
北京卫视4K,http://ipipip/rtp/239.0.0.198:5140
东方卫视4K,http://ipipip/rtp/239.0.0.207:5140
广东卫视4K,http://ipipip/rtp/239.0.0.200:5140
深圳卫视4K,http://ipipip/rtp/239.0.0.199:5140
湖南卫视4K,http://ipipip/rtp/239.0.0.204:5140
江苏卫视4K,http://ipipip/rtp/239.0.0.205:5140
浙江卫视4K,http://ipipip/rtp/239.0.0.206:5140
东方卫视4K,http://ipipip/rtp/239.0.0.212:5140
山东卫视4K,http://ipipip/rtp/239.0.0.208:5140
四川卫视4K,http://ipipip/rtp/239.0.0.203:5140
欢笑剧场4K,http://ipipip/rtp/239.0.0.201:5140

体育频道,#genre#
快乐垂钓,http://ipipip/rtp/239.0.0.40:5140
先锋乒羽,http://ipipiprtp/239.0.0.37:5140

数字频道,#genre#
乐游,http://ipipip/rtp/239.0.0.30:5140
金鹰纪实,http://ipipip/rtp/239.0.0.69:5140
法治天地,http://ipipip/rtp/239.0.0.33:5140
书画频道,http://ipipip/rtp/239.0.0.31:5140

少儿频道,#genre#
卡酷少儿,http://ipipip/rtp/239.0.0.75:5140
金色学堂,http://ipipip/rtp/239.0.0.32:5140
动漫秀场,http://ipipip/rtp/239.0.0.28:5140
金鹰卡通,http://ipipip/rtp/239.0.0.95:5140
