央视频道,#genre#
CCTV-1 综合,http://ipipip/CCTV-1高清?cors
CCTV-2 财经,http://ipipip/CCTV-2高清?cors
CCTV-3 综艺,http://ipipip/CCTV-3高清?cors
CCTV-4 中文国际,http://ipipip/CCTV-4高清?cors
CCTV-5 体育,http://ipipip/CCTV-5高清?cors
CCTV-5+ 体育赛事,http://ipipip/CCTV-5+高清?cors
CCTV-6 电影,http://ipipip/CCTV-6高清?cors
CCTV-7 国防军事,http://ipipip/CCTV-7高清?cors
CCTV-8 电视剧,http://ipipip/CCTV-8高清?cors
CCTV-9 纪录,http://ipipip/CCTV-8高清?cors
CCTV-10 科教,http://ipipip/CCTV-10高清?cors
CCTV-11 戏曲,http://ipipip/CCTV-11高清?cors
CCTV-12 社会与法,http://ipipip/CCTV-12高清?cors
CCTV-13 新闻,http://ipipip/CCTV-13高清?cors
CCTV-14 少儿,http://ipipip/CCTV-14高清?cors
CCTV-15 音乐,http://ipipip/CCTV-15高清?cors
CCTV-16 奥林匹克,http://ipipip/CCTV-奥林匹克4K?cors
CCTV-17 农业农村,http://ipipip/CCTV-17高清?cors
CCTV-4 欧洲,http://ipipip/CCTV4中文国际欧洲?cors
CCTV-4 美洲,http://ipipip/CCTV4中文国际美洲?cors
CCTV-兵器科技,http://ipipip/兵器科技高清?cors
CCTV-风云音乐,http://ipipip/风云音乐高清?cors
CCTV-第一剧场,http://ipipip/第一剧场高清?cors
CCTV-风云足球,http://ipipip/风云足球高清?cors
CCTV-风云剧场,http://ipipip/风云剧场高清?cors
CCTV-电视指南,http://ipipip/电视指南高清?cors
CCTV-女性时尚,http://ipipip/女性时尚高清?cors
CCTV-世界地理,http://ipipip/世界地理高清?cors
CCTV-央视台球,http://ipipip/央视台球高清?cors
CCTV-高尔夫网球,http://ipipip/高尔夫网球高清?cors
CCTV-央视文化精品,http://ipipip/文化精品高清?cors
中央新影-老故事,http://ipipip/老故事?cors
中央新影-中学生,http://ipipip/中学生?cors
CETV1,http://ipipip/中国教育-1高清?cors
CETV2,http://ipipip/CETV-2?cors
CETV早期教育,http://ipipip/早期教育高清?cors
CGTN纪录,http://ipipip/CGTN?cors
CGTN英语,http://ipipip/CGTN 英文记录?cors
CGTN俄语,http://ipipip/CGTN 俄语?cors
中国交通,http://ipipip/中国交通频道?cors

卫视频道,#genre#
北京卫视,http://ipipip/北京卫视高清?cors
东方卫视,http://ipipip/东方卫视高清?cors
广东卫视,http://ipipip/广东卫视高清?cors
深圳卫视,http://ipipip/深圳卫视高清?cors
浙江卫视,http://ipipip/浙江卫视高清?cors
江苏卫视,http://ipipip/江苏卫视高清?cors
湖南卫视,http://ipipip/湖南卫视高清?cors
山东卫视,http://ipipip/山东卫视高清?cors
四川卫视,http://ipipip/四川卫视高清?cors
河南卫视,http://ipipip/河南卫视高清?cors
广西卫视,http://ipipip/广西卫视高清?cors
湖北卫视,http://ipipip/湖北卫视高清?cors
河北卫视,http://ipipip/河北卫视高清?cors
安徽卫视,http://ipipip/安徽卫视高清?cors
重庆卫视,http://ipipip/重庆卫视高清?cors
天津卫视,http://ipipip/天津卫视高清?cors
东南卫视,http://ipipip/东南卫视高清?cors
贵州卫视,http://ipipip/贵州卫视高清?cors
海南卫视,http://ipipip/海南卫视高清?cors
江西卫视,http://ipipip/江西卫视高清?cors
黑龙江卫视,http://ipipip/黑龙江卫视高清?cors
吉林卫视,http://ipipip/吉林卫视高清?cors
辽宁卫视,http://ipipip/辽宁卫视高清?cors

4K专区,#genre#
欢笑剧场4K,http://ipipip/欢笑剧场4K?cors

体育频道,#genre#
CCTV-5 体育,http://ipipip/CCTV-5高清?cors
CCTV-5+ 体育赛事,http://ipipip/CCTV-5+高清?cors
CCTV-16 奥林匹克,http://ipipip/CCTV-奥林匹克4K?cors
CCTV-风云足球,http://ipipip/风云足球高清?cors
CCTV-央视台球,http://ipipip/央视台球高清?cors
CCTV-高尔夫网球,http://ipipip/高尔夫网球高清?cors
快乐垂钓,http://ipipip/快乐垂钓高清?cors
先锋乒羽,http://ipipip/先锋乒羽?cors
天元围棋,http://ipipip/天元围棋?cors
车迷频道,http://ipipip/车迷?cors
游戏风云,http://ipipip/游戏风云高清?cors
网络棋牌,http://ipipip/网络棋牌?cors

数字频道,#genre#
环球奇观,http://ipipip/环球奇观?cors
求索纪录,http://ipipip/求索纪录高清?cors
EETV生态环境,http://ipipip/生态环境?cors
都市剧场,http://ipipip/都市剧场高清?cors
金鹰纪实,http://ipipip/金鹰纪实高清?cors
法治天地,http://ipipip/法治天地高清?cors

少儿频道,#genre#
金色学堂,http://ipipip/金色学堂高清?cors
动漫秀场,http://ipipip/动漫秀场高清?cors
优漫卡通,http://ipipip/优漫卡通?cors
金鹰卡通,http://ipipip/金鹰卡通?cors
优优宝贝,http://ipipip/优优宝贝?cors


