央视频道,#genre#
CETV1,http://ipipip/rtp/225.1.4.173:1712
CETV2,http://ipipip/rtp/225.1.4.165:1206
CETV4,http://ipipip/rtp/225.1.4.171:1710
CGTN纪录,http://ipipip/rtp/225.1.4.16:1045

卫视频道,#genre#
甘肃卫视,http://ipipip/rtp/225.1.4.42:1071
新疆卫视,http://ipipip/rtp/225.1.4.47:1076
西藏卫视,http://ipipip/rtp/225.1.4.46:1075
内蒙古卫视,http://ipipip/rtp/225.1.4.45:1074
宁夏卫视,http://ipipip/rtp/225.1.4.43:1072
青海卫视,http://ipipip/rtp/225.1.4.44:1073
兵团卫视,http://ipipip/rtp/225.1.4.97:1126
三沙卫视,http://ipipip/rtp/225.1.4.234:1280
厦门卫视,http://ipipip/rtp/225.1.4.95:1124

4K专区,#genre#
爱上4K,http://ipipiprtp/225.1.4.162:1204
河南卫视4K,http://ipipiprtp/rtp/225.1.4.254:1300

体育频道,#genre#
网络棋牌,http://ipipip/rtp/225.1.4.211:1264
先锋乒羽,http://ipipip/rtp/225.1.4.210:1263

数字频道,#genre#
CHC动作电影,http://ipipip/rtp/225.1.4.208:1261
CHC家庭影院,http://ipipip/rtp/225.1.4.209:1262
CHC影迷电影,http://ipipip/rtp/225.1.4.207:1260
国学,http://ipipip/rtp/225.1.4.196:1311

乐游地方/乐游HD?cors
金鹰纪实,http://ipipip/rtp/225.1.4.172:1711

少儿频道,#genre#
卡酷少儿,http://ipipip/rtp/225.1.4.48:1077
动漫秀场,http://ipipip/rtp/225.1.4.212:1265
金鹰卡通,http://ipipip/rtp/225.1.4.49:1078
嘉佳卡通,http://ipipip/rtp/225.1.4.92:1121
