央视频道,#genre#
CCTV-4K http://ipipip/rtp/239.254.96.56:7432
CETV1,http://ipipip/rtp/239.254.96.155:7152
CGTN纪录,http://ipipip/rtp/239.254.96.58:7448

卫视频道,#genre#
甘肃卫视,http://ipipip/rtp/239.254.96.177:8220
新疆卫视,http://ipipip/rtp/239.254.96.162:8220
西藏卫视,http://ipipip/rtp/239.254.96.163:8220
宁夏卫视,http://ipipip/rtp/239.254.96.171:8220
兵团卫视,http://ipipip/rtp/239.254.96.161:8220
三沙卫视,http://ipipip/rtp/239.254.96.184:7158

4K专区,#genre#
北京卫视4K,http://ipipip/rtp/239.254.96.158:8220
广东卫视4K,http://ipipip/rtp/239.254.96.159:8220
深圳卫视4K,http://ipipip/rtp/239.254.96.160:8220
爱上4K,http://ipipip/rtp/239.254.96.193:8182


体育频道,#genre#
睛彩青少,http://ipipip/rtp/239.254.96.174:8220
睛彩竞技,http://ipipip/rtp/239.254.96.172:8220
睛彩篮球,http://ipipip/rtp/239.254.96.173:8220
睛彩广场舞,http://ipipip/rtp/239.254.96.175:8220


数字频道,#genre#
IPTV戏曲,http://ipipip/rtp/239.254.96.78:7608
IPTV电影,http://ipipip/rtp/239.254.96.149:8110
IPTV电视剧,http://ipipip/rtp/239.254.96.76:7592
IPTV科教,http://ipipip/rtp/239.254.96.80:7624
IPTV社会与法,http://ipipip/rtp/239.254.96.81:7632
IPTV音乐,http://ipipip/rtp/239.254.96.138:8082
华数谍战剧场,http://ipipip/rtp/239.254.96.77:7600
IPTV经典电影,http://ipipip/rtp/239.254.96.75:7584
IPTV喜剧影院,http://ipipip/rtp/239.254.96.147:8106
华数动作影院,http://ipipip/rtp/239.254.96.148:8108
IPTV武侠剧场,http://ipipip/rtp/239.254.96.92:8706

