2026/08/11 16:47更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
央视频道,#genre#
CCTV1,http://123.118.58.227:8686/rtp/239.3.1.129:8008
CCTV2,http://123.118.58.227:8686/rtp/239.3.1.60:8084
CCTV3,http://123.118.58.227:8686/rtp/239.3.1.172:8001
CCTV4,http://123.118.58.227:8686/rtp/239.3.1.105:8092
CCTV5,http://123.118.58.227:8686/rtp/239.3.1.173:8001
CCTV6,http://123.118.58.227:8686/rtp/239.3.1.174:8001
CCTV7,http://123.118.58.227:8686/rtp/239.3.1.61:8104
CCTV8,http://123.118.58.227:8686/rtp/239.3.1.175:8001
CCTV9,http://123.118.58.227:8686/rtp/239.3.1.62:8112
CCTV10,http://123.118.58.227:8686/rtp/239.3.1.63:8116
CCTV11,http://123.118.58.227:8686/rtp/239.3.1.152:8120
CCTV12,http://123.118.58.227:8686/rtp/239.3.1.64:8124
CCTV13,http://123.118.58.227:8686/rtp/239.3.1.124:8128
CCTV14,http://123.118.58.227:8686/rtp/239.3.1.65:8132
CCTV15,http://123.118.58.227:8686/rtp/239.3.1.153:8136
CCTV16,http://123.118.58.227:8686/rtp/239.3.1.184:8001
CCTV17,http://123.118.58.227:8686/rtp/239.3.1.151:8144
CGTN英语,http://123.118.58.227:8686/rtp/239.3.1.215:4220
CGTN纪录,http://123.118.58.227:8686/rtp/239.3.1.216:4220
CGTN西班牙语,http://123.118.58.227:8686/rtp/239.3.1.217:4220
CGTN法语,http://123.118.58.227:8686/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://123.118.58.227:8686/rtp/239.3.1.219:4220
CGTN俄语,http://123.118.58.227:8686/rtp/239.3.1.220:4220
第一剧场,http://60.4.31.149:8077/rtp/239.253.93.138:6428
怀旧剧场,http://60.4.31.149:8077/rtp/239.253.93.252:6430
风云剧场,http://60.4.31.149:8077/rtp/239.253.93.251:6429
风云音乐,http://60.4.31.149:8077/rtp/239.253.93.253:6431
兵器科技,http://60.4.31.149:8077/rtp/239.253.93.47:6435
风云足球,http://60.4.31.149:8077/rtp/239.253.93.254:6432
高尔夫网球,http://60.4.31.149:8077/rtp/239.253.93.122:6465
央视台球,http://60.4.31.149:8077/rtp/239.253.93.231:6409
女性时尚,http://60.4.31.149:8077/rtp/239.253.92.144:6114
电视指南,http://60.4.31.149:8077/rtp/239.253.93.249:6427
央视文化精品,http://60.4.31.149:8077/rtp/239.253.93.175:6439
世界地理,http://60.4.31.149:8077/rtp/239.253.92.131:6113
中国天气,http://183.220.20.17:4321/rtp/239.10.0.177:5140
中国交通,http://123.118.58.227:8686/rtp/239.3.1.188:8001
CETV早期教育,http://60.4.31.149:8077/rtp/239.253.93.164:6440
CETV1,http://123.118.58.227:8686/rtp/239.3.1.57:8152
CETV2,http://123.118.58.227:8686/rtp/239.3.1.54:4120
CETV4,http://123.118.58.227:8686/rtp/239.3.1.56:4120
卫视频道,#genre#
湖南卫视,http://123.118.58.227:8686/rtp/239.3.1.132:8012
浙江卫视,http://123.118.58.227:8686/rtp/239.3.1.137:8036
东方卫视,http://123.118.58.227:8686/rtp/239.3.1.136:8032
北京卫视,http://123.118.58.227:8686/rtp/239.3.1.241:8000
江苏卫视,http://123.118.58.227:8686/rtp/239.3.1.135:8028
安徽卫视,http://123.118.58.227:8686/rtp/239.3.1.211:8064
重庆卫视,http://123.118.58.227:8686/rtp/239.3.1.122:8160
四川卫视,http://123.118.58.227:8686/rtp/239.3.1.29:8288
东南卫视,http://123.118.58.227:8686/rtp/239.3.1.156:8148
深圳卫视,http://123.118.58.227:8686/rtp/239.3.1.134:8020
广东卫视,http://123.118.58.227:8686/rtp/239.3.1.142:8048
广西卫视,http://123.118.58.227:8686/rtp/239.3.1.39:8300
厦门卫视,http://123.118.58.227:8686/rtp/239.3.1.143:4120
甘肃卫视,http://123.118.58.227:8686/rtp/239.3.1.49:8188
贵州卫视,http://123.118.58.227:8686/rtp/239.3.1.149:8076
河北卫视,http://123.118.58.227:8686/rtp/239.3.1.148:8072
河南卫视,http://123.118.58.227:8686/rtp/239.3.1.27:8128
黑龙江卫视,http://123.118.58.227:8686/rtp/239.3.1.133:8016
湖北卫视,http://123.118.58.227:8686/rtp/239.3.1.138:8044
江西卫视,http://123.118.58.227:8686/rtp/239.3.1.123:8164
吉林卫视,http://123.118.58.227:8686/rtp/239.3.1.240:8172
内蒙古卫视,http://123.118.58.227:8686/rtp/239.3.1.43:8176
辽宁卫视,http://123.118.58.227:8686/rtp/239.3.1.210:8056
宁夏卫视,http://123.118.58.227:8686/rtp/239.3.1.46:8124
青海卫视,http://123.118.58.227:8686/rtp/239.3.1.44:8184
山东卫视,http://123.118.58.227:8686/rtp/239.3.1.209:8052
山东教育卫视,http://123.118.58.227:8686/rtp/239.3.1.52:4120
山西卫视,http://123.118.58.227:8686/rtp/239.3.1.42:8172
陕西卫视,http://123.118.58.227:8686/rtp/239.3.1.41:8140
天津卫视,http://123.118.58.227:8686/rtp/239.3.1.141:1234
海南卫视,http://123.118.58.227:8686/rtp/239.3.1.45:8304
新疆卫视,http://123.118.58.227:8686/rtp/239.3.1.48:8160
云南卫视,http://123.118.58.227:8686/rtp/239.3.1.26:8108
西藏卫视,http://123.118.58.227:8686/rtp/239.3.1.47:8164
西藏藏语,http://112.192.73.205:8484/rtp/239.0.0.105:5140
海峡卫视,http://112.109.206.43:9999/rtp/239.255.40.157:8208
